,L,counts,cps,cps_per_nA,baseline,cps_per_nA_corrected,fit
0,125.0,73.0,121.66666666666669,1.2181284207715926,1.0006487085310045,0.21747971224058804,2.3239534991699642e-08
1,125.02,83.0,138.33333333333334,1.3849953277266052,1.0002982925483823,0.38469703517822285,2.404475324946177e-08
2,125.04,84.0,140.0,1.4016820184221064,0.9999478765657592,0.40173414185634715,2.487710366146803e-08
3,125.06,90.0,150.0,1.501802162595114,0.999597460583137,0.5022047020119769,2.5737473203450934e-08
4,125.08,87.0,145.0,1.4517420905086105,0.9992470446005144,0.4524950459080961,2.6626776902887748e-08
5,125.1,94.0,156.66666666666669,1.5685489253771192,0.9988966286178917,0.5696522967592275,2.754595869428491e-08
6,125.12,58.0,96.66666666666669,0.9678280603390736,0.9985462126352691,-0.030718152296195456,2.8495992299495243e-08
7,125.14,79.0,131.66666666666669,1.3182485649446003,0.9981957966526465,0.32005276829195384,2.947788213376179e-08
8,125.16,69.0,115.0,1.1513816579895877,0.9978453806700238,0.15353627731956387,3.049266423821318e-08
9,125.18,78.0,130.0,1.3015618742490989,0.9974949646874012,0.3040669095616977,3.154140723953733e-08
10,125.2,79.0,131.66666666666669,1.3182485649446003,0.9971445487047785,0.32110401623982177,3.2625213337593525e-08
11,125.22,75.0,125.0,1.251501802162595,0.9967941327221563,0.25470766944043866,3.3745219321745944e-08
12,125.24,73.0,121.66666666666669,1.2181284207715926,0.9964437167395337,0.22168470403205887,3.490259761670098e-08
13,125.26,71.0,118.33333333333334,1.18475503938059,0.996093300756911,0.18866173862367885,3.609855735867731e-08
14,125.28,66.0,110.0,1.1013215859030836,0.9957428847742884,0.1055787011287952,3.733434550273789e-08
15,125.3,75.0,125.0,1.251501802162595,0.9953924687916658,0.2561093333709292,3.861124796215781e-08
16,125.32,65.0,108.33333333333334,1.0846348952075824,0.9950420528090436,0.08959284239853882,3.9930590780692616e-08
17,125.34,74.0,123.33333333333334,1.2348151114670938,0.9946916368264205,0.2401234746406733,4.1293741338669666e-08
18,125.36,73.0,121.66666666666669,1.2181284207715926,0.9943412208437983,0.22378719992779428,4.270210959381766e-08
19,125.38,80.0,133.33333333333334,1.3349352556401015,0.9939908048611756,0.3409444507789259,4.415714935780588e-08
20,125.4,66.0,110.0,1.1013215859030836,0.993640388878553,0.1076811970245306,4.566035960945249e-08
21,125.42,84.0,140.0,1.4016820184221064,0.9932899728959304,0.40839204552617603,4.7213285845612495e-08
22,125.44,75.0,125.0,1.251501802162595,0.9929395569133077,0.2585622452492873,4.8817521470787295e-08
23,125.46,75.0,125.0,1.251501802162595,0.9925891409306855,0.2589126612319095,5.047470922648981e-08
24,125.48,65.0,108.33333333333334,1.0846348952075824,0.9922387249480624,0.09239617025951996,5.218654266146751e-08
25,125.5,72.0,120.0,1.2014417300760911,0.9918883089654402,0.2095534211106509,5.395476764387854e-08
26,125.52,81.0,135.0,1.3516219463356025,0.9915378929828176,0.3600840533527849,5.578118391658256e-08
27,125.54,60.0,100.0,1.001201441730076,0.9911874770001949,0.010013964729881142,5.7667646696691306e-08
28,125.56,94.0,156.66666666666669,1.5685489253771192,0.9908370610175723,0.5777118643595469,5.961606832058654e-08
29,125.58,61.0,101.66666666666669,1.0178881324255773,0.9904866450349497,0.027401487390627643,6.16284199356504e-08
30,125.6,74.0,123.33333333333334,1.2348151114670938,0.9901362290523275,0.24467888241476632,6.37067332399411e-08
31,125.62,67.0,111.66666666666669,1.1180082765985848,0.9897858130697044,0.12822246352888045,6.585310227113048e-08
32,125.64,79.0,131.66666666666669,1.3182485649446003,0.9894353970870822,0.32881316785751813,6.806968524600937e-08
33,125.66,87.0,145.0,1.4517420905086105,0.9890849811044595,0.46265710940415095,7.035870645194742e-08
34,125.68,89.0,148.33333333333334,1.485115471899613,0.9887345651218369,0.496380906777776,7.272245819167073e-08
35,125.7,85.0,141.66666666666669,1.4183687091176078,0.9883841491392142,0.4299845599783936,7.516330278279945e-08
36,125.72,71.0,118.33333333333334,1.18475503938059,0.9880337331565916,0.1967213062239983,7.768367461362408e-08
37,125.74,91.0,151.66666666666669,1.5184888532906156,0.9876833171739694,0.5308055361166462,8.028608225659814e-08
38,125.76,84.0,140.0,1.4016820184221064,0.9873329011913463,0.41434911723076007,8.29731106411021e-08
39,125.78,87.0,145.0,1.4517420905086105,0.9869824852087241,0.46475960529988636,8.574742328704825e-08
40,125.8,89.0,148.33333333333334,1.485115471899613,0.9866320692261015,0.49848340267351143,8.861176460096337e-08
41,125.82,80.0,133.33333333333334,1.3349352556401015,0.9862816532434788,0.3486536023966227,9.156896223617769e-08
42,125.84,65.0,108.33333333333334,1.0846348952075824,0.9859312372608562,0.0987036579467262,9.462192951884744e-08
43,125.86,79.0,131.66666666666669,1.3182485649446003,0.9855808212782335,0.33266774366636676,9.777366794152814e-08
44,125.88,70.0,116.66666666666669,1.168068348685089,0.9852304052956109,0.182837943389478,1.0102726972611831e-07
45,125.9,68.0,113.33333333333334,1.1346949672940865,0.9848799893129883,0.14981497798109822,1.0438592045796698e-07
46,125.92,86.0,143.33333333333334,1.435055399813109,0.9845295733303661,0.450525826482743,1.0785290179303001e-07
