Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 14:18:34	1070.00	48.00
13/04/2018 14:18:35	808.00	43.00
13/04/2018 14:18:37	624.00	53.00
13/04/2018 14:18:39	631.00	54.00
13/04/2018 14:18:41	567.00	68.00
13/04/2018 14:18:43	573.00	46.00
13/04/2018 14:18:45	552.00	51.00
13/04/2018 14:18:47	545.00	55.00
13/04/2018 14:18:49	606.00	61.00
13/04/2018 14:18:51	592.00	43.00
13/04/2018 14:18:53	552.00	52.00
13/04/2018 14:18:55	556.00	52.00
13/04/2018 14:18:57	629.00	55.00
13/04/2018 14:18:58	594.00	59.00
13/04/2018 14:19:00	631.00	53.00
13/04/2018 14:19:03	557.00	36.00
13/04/2018 14:19:05	559.00	47.00
13/04/2018 14:19:07	577.00	51.00
13/04/2018 14:19:09	566.00	46.00
13/04/2018 14:19:10	535.00	56.00
13/04/2018 14:19:12	566.00	50.00
13/04/2018 14:19:14	540.00	42.00
13/04/2018 14:19:16	565.00	58.00
13/04/2018 14:19:17	549.00	43.00
13/04/2018 14:19:20	544.00	52.00
13/04/2018 14:19:22	592.00	49.00
13/04/2018 14:19:24	570.00	50.00
13/04/2018 14:19:26	554.00	41.00
13/04/2018 14:19:28	555.00	58.00
13/04/2018 14:19:30	613.00	72.00
13/04/2018 14:19:32	537.00	44.00
13/04/2018 14:19:34	571.00	62.00
13/04/2018 14:19:35	605.00	47.00
13/04/2018 14:19:38	596.00	47.00
13/04/2018 14:19:39	567.00	48.00
13/04/2018 14:19:41	582.00	43.00
13/04/2018 14:19:43	554.00	43.00
13/04/2018 14:19:45	571.00	63.00
13/04/2018 14:19:47	579.00	47.00
13/04/2018 14:19:50	559.00	43.00
13/04/2018 14:19:52	569.00	51.00
13/04/2018 14:19:54	580.00	39.00
13/04/2018 14:19:56	543.00	39.00
13/04/2018 14:19:58	561.00	45.00
13/04/2018 14:19:59	602.00	55.00
13/04/2018 14:20:01	568.00	48.00
13/04/2018 14:20:03	549.00	49.00
13/04/2018 14:20:05	559.00	44.00
13/04/2018 14:20:07	573.00	54.00
13/04/2018 14:20:09	564.00	46.00
13/04/2018 14:20:11	531.00	51.00
13/04/2018 14:20:13	611.00	50.00
13/04/2018 14:20:15	551.00	46.00
13/04/2018 14:20:17	573.00	49.00
13/04/2018 14:20:19	584.00	47.00
13/04/2018 14:20:21	528.00	45.00
13/04/2018 14:20:23	587.00	35.00
13/04/2018 14:20:25	569.00	47.00
13/04/2018 14:20:27	563.00	46.00
13/04/2018 14:20:29	575.00	37.00
13/04/2018 14:20:32	559.00	44.00
13/04/2018 14:20:34	531.00	45.00
13/04/2018 14:20:36	591.00	32.00
13/04/2018 14:20:37	550.00	40.00
13/04/2018 14:20:39	537.00	42.00
13/04/2018 14:20:41	549.00	41.00
13/04/2018 14:20:44	561.00	36.00
13/04/2018 14:20:46	559.00	37.00
13/04/2018 14:20:48	607.00	36.00
13/04/2018 14:20:50	584.00	28.00
13/04/2018 14:20:52	572.00	36.00
13/04/2018 14:20:54	582.00	20.00
13/04/2018 14:20:56	567.00	32.00
13/04/2018 14:20:58	528.00	30.00
13/04/2018 14:21:00	556.00	40.00
13/04/2018 14:21:02	587.00	35.00
13/04/2018 14:21:04	549.00	32.00
13/04/2018 14:21:06	548.00	33.00
13/04/2018 14:21:08	622.00	30.00
13/04/2018 14:21:09	602.00	27.00
13/04/2018 14:21:11	569.00	25.00
13/04/2018 14:21:13	573.00	40.00
13/04/2018 14:21:15	589.00	32.00
13/04/2018 14:21:17	518.00	30.00
13/04/2018 14:21:20	597.00	34.00
13/04/2018 14:21:22	606.00	37.00
13/04/2018 14:21:24	651.00	33.00
13/04/2018 14:21:25	542.00	29.00
13/04/2018 14:21:27	565.00	35.00
13/04/2018 14:21:30	617.00	30.00
13/04/2018 14:21:32	578.00	33.00
13/04/2018 14:21:34	578.00	33.00
13/04/2018 14:21:36	567.00	29.00
13/04/2018 14:21:38	570.00	23.00
13/04/2018 14:21:40	604.00	30.00
13/04/2018 14:21:42	597.00	24.00
13/04/2018 14:21:44	551.00	32.00
13/04/2018 14:21:46	574.00	29.00
13/04/2018 14:21:47	584.00	32.00
13/04/2018 14:21:49	624.00	25.00
