,L,cps,cps_per_nA,cps_per_nA_stdev
0,125.0,37.111111111111114,3.711970517366947,1.6213657336610685
1,125.1,45.00000000000001,4.500991674612308,1.7750711290308465
2,125.2,41.333333333333336,4.134233872613208,1.8930202585101057
3,125.3,39.777777777777786,3.9786949987394378,1.4142651441805911
4,125.4,40.111111111111114,4.012039441833293,1.5897596415378672
5,125.5,45.11111111111112,4.512140629787854,1.761516488394686
6,125.6,40.888888888888886,4.089885054661265,1.64922490895629
7,125.7,37.55555555555555,3.7563249163521193,1.4955426395174363
8,125.8,42.22222222222222,4.22322504042296,1.4490781459913464
9,125.9,40.00000000000001,4.000950583421572,1.4762258751766055
10,126.0,37.8888888888889,3.789713813447287,1.5848059395548462
11,126.1,39.22222222222222,3.9231516886540723,1.7773040627913088
12,126.2,41.55555555555555,4.156414923989235,1.705727224373016
13,126.3,35.666666666666664,3.567497161801101,1.4031033042505696
14,126.4,37.11111111111112,3.7118993404285097,1.4676024946309132
15,126.5,36.77777777777778,3.6787027962131975,1.872517641734476
16,126.6,40.333333333333336,4.034223850916673,1.3633814268830327
17,126.7,34.8888888888889,3.4896749304776127,1.3899965544064465
18,126.8,38.11111111111111,3.811952727808148,1.4663299527466187
19,126.9,37.44444444444444,3.745308274234865,1.3939407054960016
20,127.0,36.77777777777778,3.678629377885382,1.7408495830191577
21,127.1,36.555555555555564,3.656330449095911,1.478279554053773
22,127.2,39.000000000000014,3.9008282219599666,1.8373327704049724
23,127.3,37.66666666666667,3.767494927562839,1.60497318837246
24,127.4,33.66666666666667,3.3673837521858276,1.575123536288287
25,127.5,36.777777777777786,3.678765059114831,1.4018264947904302
26,127.6,36.44444444444444,3.6452560919779007,1.8157434748119883
27,127.7,35.88888888888889,3.5896893489756327,1.5594213948054068
28,127.8,35.77777777777778,3.5785638204643835,1.4142253822249504
29,127.9,40.55555555555556,4.056560654959403,1.9151429005888219
30,128.0,34.88888888888889,3.4896804774601105,1.3019641858766107
31,128.1,37.0,3.7009539331179138,1.6174285628543796
32,128.2,38.0,3.8008860811622216,1.6882484944904588
33,128.3,35.11111111111111,3.5119471886070937,1.465331524458548
34,128.4,34.666666666666664,3.4675394331789624,1.3045893853779702
35,128.5,33.55555555555556,3.356336013877813,1.6149139796777292
36,128.6,34.55555555555556,3.4563215515297228,1.5180920302467449
37,128.7,35.11111111111111,3.5119015980269324,1.3711461334091628
38,128.8,37.555555555555564,3.7563849416963224,1.525182831452796
39,128.9,31.0,3.100611450677272,1.6548044091411795
40,129.0,33.666666666666664,3.3674248992094524,1.517821669939155
41,129.1,31.999999999999996,3.2007926768654515,1.3977927729889852
42,129.2,31.22222222222222,3.122961584028565,1.2798534269968365
43,129.3,32.22222222222222,3.2230193915932253,1.5648377831734301
44,129.4,29.888888888888896,2.9896004592417014,1.518201239810414
45,129.5,32.44444444444444,3.245211573898045,1.6081330581927136
46,129.6,29.33333333333334,2.933952565671203,1.295213305598454
47,129.7,28.888888888888896,2.889584877429327,0.9165903141684003
48,129.8,29.22222222222222,2.922939334886997,1.361834269679606
49,129.9,31.222222222222225,3.122996005428431,1.5944693221597583
50,130.0,28.22222222222222,2.8228459443973137,1.4111249550663252
51,130.1,28.11111111111111,2.8117792999730025,1.3939810230347043
52,130.2,27.777777777777782,2.7785037519465985,1.2368442336117653
