,L,counts,cps,cps_per_nA,baseline,cps_per_nA_corrected,fit
0,125.0,118.0,196.66666666666669,1.9647019647019648,1.8031863137501563,0.16151565095180853,8.134182270004991e-06
1,125.02,112.0,186.66666666666669,1.864801864801865,1.802604581519435,0.062197283282430016,8.330825465462633e-06
2,125.04,108.0,180.0,1.7982017982017982,1.8020228492887136,-0.003821051086915439,8.53203961242422e-06
3,125.06,125.0,208.33333333333331,2.081252081252081,1.8014411170579923,0.2798109641940889,8.73792638301088e-06
4,125.08,117.0,195.0,1.948051948051948,1.8008593848272714,0.14719256322467666,8.948589599823833e-06
5,125.1,132.0,220.0,2.197802197802197,1.80027765259655,0.39752454520564706,9.16413527882829e-06
6,125.12,106.0,176.66666666666669,1.7649017649017649,1.7996959203658283,-0.03479415546406339,9.38467167303478e-06
7,125.14,120.0,200.0,1.9980019980019976,1.7991141881351074,0.19888780986689025,9.610309316989544e-06
8,125.16,136.0,226.66666666666669,2.264402264402265,1.798532455904386,0.46586980849787896,9.841161072090144e-06
9,125.18,116.0,193.33333333333331,1.9314019314019315,1.7979507236736647,0.1334512077282668,1.0077342172737368e-05
10,125.2,129.0,215.0,2.147852147852148,1.7973689914429434,0.3504831564092048,1.0318970273338877e-05
11,125.22,114.0,190.0,1.898101898101898,1.796787259212222,0.10131463888967596,1.056616549618042e-05
12,125.24,124.0,206.66666666666669,2.0646020646020644,1.7962055269815012,0.26839653762056326,1.0819050480176114e-05
13,125.26,107.0,178.33333333333334,1.7815517815517814,1.7956237947507794,-0.014072013198997979,1.1077750430515116e-05
14,125.28,117.0,195.0,1.948051948051948,1.7950420625200585,0.15300988553188954,1.1342393169217766e-05
15,125.3,119.0,198.33333333333331,1.981351981351981,1.7944603302893372,0.18689165106264394,1.1613109186619028e-05
16,125.32,108.0,180.0,1.7982017982017982,1.7938785980586158,0.004323200143182326,1.1890031693791488e-05
17,125.34,126.0,210.0,2.097902097902098,1.7932968658278945,0.3046052320742034,1.2173296675925778e-05
18,125.36,112.0,186.66666666666669,1.864801864801865,1.7927151335971732,0.07208673120469178,1.2463042946682734e-05
19,125.38,115.0,191.66666666666669,1.9147519147519148,1.7921334013664523,0.12261851338546248,1.275941220353639e-05
20,125.4,126.0,210.0,2.097902097902098,1.7915516691357305,0.3063504287663674,1.3062549084119936e-05
21,125.42,142.0,236.66666666666669,2.364302364302364,1.7909699369050092,0.573332427397355,1.337260122359366e-05
22,125.44,132.0,220.0,2.197802197802197,1.7903882046742883,0.4074139931279088,1.368971931305302e-05
