,L,cps,cps_per_nA,cps_per_nA_stdev,baseline,cps_per_nA_corrected,fit
0,125.0,24.77777777777778,2.4783648118369994,1.3834105439572617,2.394026055121813,0.08433875671518631,2.8899581389759404e-08
1,125.1,25.11111111111111,2.511737055955895,1.231897108393731,2.3735160970200564,0.13822095893583874,3.347728828574638e-08
2,125.2,23.0,2.3004702929992,1.1765335669367916,2.353295310812399,-0.05282501781319926,3.8755000444338984e-08
3,125.3,21.88888888888889,2.189423680153725,1.3005387172993572,2.333358286910358,-0.14393460675663317,4.483570201164349e-08
4,125.4,26.111111111111107,2.611666954619987,1.351747757604973,2.313699741609611,0.2979672130103763,5.183689215587851e-08
5,125.5,21.55555555555556,2.156080323349554,1.118346232359368,2.2943145135917087,-0.13823419024215466,5.989253446174839e-08
6,125.6,24.33333333333333,2.433912579480085,1.5439835876191683,2.275197560538614,0.158715018941471,6.915525402111792e-08
7,125.7,20.111111111111107,2.011583602740086,1.11911219063198,2.256343955856016,-0.2447603531159297,7.979881170414519e-08
8,125.8,22.22222222222222,2.22277587221169,0.9942452966694004,2.237748885501392,-0.01497301328970213,9.202088833528748e-08
9,125.9,24.33333333333333,2.4338925565735825,1.332664165094939,2.2194076449130034,0.21448491166057915,1.0604621505994789e-07
10,126.0,22.444444444444446,2.2450582072452145,1.3058901599506514,2.201315636036222,0.0437425712089925,1.2213009009734474e-07
11,126.1,19.333333333333336,1.933733561488519,0.9562056736907192,2.1834683644436153,-0.2497348029550963,1.4056232636295457e-07
12,126.2,21.66666666666667,2.1671547216386124,1.2570858549344528,2.165861436545475,0.0012932850931375306,1.6167167914042638e-07
13,126.3,20.22222222222222,2.0226602586286373,1.3662948008567246,2.148490556887547,-0.12583029825890968,1.8583080812156102e-07
14,126.4,22.666666666666664,2.267200339592087,1.181527404424326,2.131351525532829,0.13584881405925842,2.1346183374868725e-07
15,126.5,20.111111111111107,2.011548019384781,1.04363356930125,2.114440235524524,-0.1028922161397432,2.450425539234105e-07
16,126.6,21.11111111111111,2.1115869613335234,0.9443555185787216,2.097752670427216,0.013834290906307611,2.8111339382878974e-07
17,126.7,20.666666666666668,2.0672081228161203,1.203461806205878,2.081284901943582,-0.014076779127461858,3.222851688888796e-07
18,126.8,20.222222222222225,2.022624673714905,1.141678327213966,2.0650330876039824,-0.042408413889077234,3.692477488039948e-07
19,126.9,21.777777777777786,2.178255845322528,1.160314357293314,2.0489934685263558,0.12926237679617225,4.2277971919674126e-07
20,127.0,18.777777777777786,1.878203583400688,1.0221062142552937,2.0331623672440666,-0.15495878384337858,4.837591467294753e-07
21,127.1,20.000000000000004,2.000444701736613,0.989039520387518,2.017536185599269,-0.01709148386265591,5.531755636582557e-07
22,127.2,18.11111111111111,1.8115847186370655,1.026538092153995,2.0021114026996054,-0.19052668406253992,6.321432987206421e-07
23,127.3,20.666666666666668,2.0671591754170926,1.1401847369262788,1.9868845729360531,0.08027460248103946,7.21916293068496e-07
24,127.4,18.555555555555557,1.8559291052614952,1.2713980527876716,1.9718523240598058,-0.11592321879831058,8.239045527052632e-07
25,127.5,19.444444444444446,1.9448424434804883,1.0421621432075503,1.9570113553162558,-0.012168911835767515,9.396924026244157e-07
26,127.6,19.444444444444446,1.944888035615668,1.7737162580898196,1.9423584356340697,0.002529599981598185,1.071058722629646e-06
27,127.7,20.77777777777778,2.0783180968889083,1.1165559887786705,1.9278904018675755,0.1504276950213328,1.2199993607020912e-06
28,127.8,19.777777777777786,1.978164649690591,1.217079966569248,1.913604157090637,0.06456049259995389,1.3887519368250752e-06
29,127.9,17.222222222222225,1.722654710087846,0.99135177460588,1.8994966689402923,-0.17684195885244636,1.5798232684383224e-06
30,128.0,20.66666666666667,2.0671802990921084,0.9563606659322632,1.8855649680085518,0.18161533108355665,1.7960196682275904e-06
31,128.1,19.55555555555556,1.955972467839637,1.2761669749445002,1.8718061462806967,0.08416632155894033,2.0404803858208665e-06
32,128.2,20.0,2.000502520652698,1.259445374135049,1.8582173556186048,0.14228516503409305,2.316714487209054e-06
33,128.3,21.33333333333333,2.133829196011733,1.1665153023050958,1.8447958062875935,0.2890333897241395,2.62864148939455e-06
34,128.4,19.66666666666667,1.9671080260522869,1.1186820505053416,1.8315387655253847,0.1355692605269021,2.980636092940711e-06
35,128.5,18.555555555555557,1.8559846866068568,1.026418875459038,1.8184435561517711,0.03754113045508567,3.3775773818006105e-06
36,128.6,19.444444444444446,1.9449124954163248,0.93741657083116,1.805507555217735,0.13940494019858973,3.824902888078829e-06
37,128.7,19.88888888888889,1.989352499644774,1.226544869481012,1.7927281926926968,0.19662430695207722,4.328667949273039e-06
38,128.8,19.22222222222222,1.922704752676528,1.1997235933418289,1.780102950188677,0.14260180248785104,4.895610817073397e-06
39,128.9,18.44444444444444,1.8448346678209544,1.0065156729269005,1.7676293597202184,0.077205308100736,5.5332240099964944e-06
40,129.0,18.88888888888889,1.8894047613453304,1.3122900150790602,1.7553050024988694,0.13409975884646097,6.249832437014772e-06
41,129.1,19.555555555555557,1.9559435562645744,1.6639009015466508,1.7431275077611992,0.2128160485033752,7.054678855904924e-06
42,129.2,17.555555555555557,1.7559502338375528,0.988744932384058,1.7310945516292398,0.024855682208313024,7.958017268295403e-06
43,129.3,18.666666666666668,1.8671547263086803,0.9800893985720144,1.7192038560023415,0.1479508703063388,8.971214893305503e-06
44,129.4,18.11111111111111,1.811542478179184,1.162009254637118,1.7074531874794823,0.10408929069970174,1.0106863403217865e-05
45,129.5,17.11111111111111,1.711450213829259,1.0707458116342516,1.6958403563110171,0.015609857518241954,1.1378900147769101e-05
