,Sample,peak_pos,peak_pos_mc_mean,peak_pos_mc_stdev
0,BN,148.7600000000147,148.80700000001474,0.05330103188496864
1,GaN,148.5200000000146,148.52900000001458,0.007000000000002566
2,AlN,148.7200000000147,148.7210000000147,0.009433981132053747
3,Si3N4,148.75000000001472,148.75700000001473,0.007810249675899551
4,GlassA870,148.15000000001442,148.0270000000143,0.03494281041932899
