,Sample,peak_pos,peak_pos_mc_mean,peak_pos_mc_stdev
0,BN,146.63000000001364,146.63360000001364,0.015460918472079973
1,GaN,146.27000000001345,146.27340000001345,0.007644605941447576
2,AlN,146.45000000001352,146.4450000000135,0.010816653826392113
3,Si3N4,146.5800000000136,146.57980000001356,0.0058275209137446495
4,GlassA870,145.93000000001325,145.92860000001326,0.04853905643914338
5,Buddingtonite,146.30000000001345,146.30800000001346,0.04372642221817336
