,Sample,peak_pos,peak_pos_mc_mean,peak_pos_mc_stdev
0,BN,146.94000000001378,146.93700000001377,0.016763054614249377
1,GaN,146.66000000001364,146.66000000001367,0.0077459666924224665
2,AlN,146.86000000001374,146.85800000001373,0.006000000000011596
3,Si3N4,146.88000000001375,146.87800000001374,0.007483314773541077
4,GlassA870,146.28000000001344,146.15900000001338,0.04678675026118504
