,L,cps,cps_per_nA,cps_per_nA_stdev,baseline,cps_per_nA_corrected,fit
0,125.0,37.11111111111112,3.711970517366947,1.6213657336610685,4.3447081066095645,-0.6327375892426175,3.410659074529563e-05
1,125.1,45.00000000000001,4.500991674612308,1.7750711290308463,4.301043069055354,0.19994860555695393,3.746621942560593e-05
2,125.2,41.333333333333336,4.134233872613208,1.8930202585101057,4.258081924413331,-0.12384805180012304,4.113878190097003e-05
3,125.3,39.777777777777786,3.9786949987394378,1.4142651441805911,4.215809625523321,-0.2371146267838835,4.515158267815029e-05
4,125.4,40.11111111111112,4.012039441833293,1.5897596415378672,4.17421152513483,-0.1621720833015372,4.9534127937613646e-05
5,125.5,45.11111111111112,4.512140629787854,1.761516488394686,4.133273363221438,0.37886726656641656,5.431828616093983e-05
6,125.6,40.888888888888886,4.089885054661265,1.64922490895629,4.092981254762062,-0.003096200100797475,5.953845897187367e-05
7,125.7,37.55555555555555,3.7563249163521193,1.4955426395174365,4.0533216779697305,-0.29699676161761124,6.523176271247933e-05
8,125.8,42.22222222222222,4.22322504042296,1.4490781459913464,4.01428146294912,0.20894357747383996,7.143822129192827e-05
9,125.9,40.00000000000001,4.000950583421572,1.4762258751766055,3.9758477807651103,0.025102802656461698,7.82009708610892e-05
10,126.0,37.8888888888889,3.789713813447287,1.5848059395548462,3.9380081329055043,-0.14829431945821714,8.55664768811672e-05
11,126.1,39.22222222222222,3.923151688654072,1.7773040627913088,3.900750341121647,0.022401347532424953,9.358476416915615e-05
12,126.2,41.55555555555555,4.156414923989235,1.705727224373016,3.864062537631609,0.29235238635762606,0.00010230966051653766
13,126.3,35.666666666666664,3.567497161801101,1.4031033042505696,3.8279331556712233,-0.2604359938701224,0.00011179905449051313
14,126.4,37.11111111111112,3.7118993404285097,1.4676024946309132,3.7923509203788504,-0.08045157995034069,0.0001221151680388721
15,126.5,36.77777777777778,3.6787027962131975,1.872517641734476,3.7573048400006037,-0.0786020437874062,0.0001333248445301943
16,126.6,40.333333333333336,4.034223850916673,1.3633814268830329,3.7227841974030733,0.3114396535135997,0.00014549985287046986
17,126.7,34.8888888888889,3.4896749304776127,1.3899965544064463,3.688778541881459,-0.19910361140384625,0.00015871720834499136
18,126.8,38.11111111111111,3.811952727808148,1.4663299527466187,3.6552776812513423,0.15667504655680586,0.00017305951084061082
19,126.9,37.44444444444444,3.745308274234865,1.3939407054960016,3.6222716742129224,0.12303660002194272,0.0001886153011078127
20,127.0,36.77777777777778,3.678629377885382,1.7408495830191577,3.589750822977119,0.08887855490826313,0.00020547943572435902
