,L,counts,cps,cps_per_nA,baseline,cps_per_nA_corrected,fit
0,125.0,305.0,508.33333333333337,5.078255078255078,4.766311634240699,0.31194344401437935,2.2234952984998397e-06
1,125.02,316.0,526.6666666666667,5.261405261405262,4.7645109623875985,0.49689429901766324,2.28778163638765e-06
2,125.04,329.0,548.3333333333334,5.477855477855478,4.7627102905344945,0.7151451873209833,2.3538644604980374e-06
3,125.06,340.0,566.6666666666667,5.661005661005661,4.760909618681394,0.9000960423242672,2.4217921209582806e-06
4,125.08,336.0,560.0,5.594405594405594,4.759108946828292,0.8352966475773025,2.4916142155341326e-06
5,125.1,310.0,516.6666666666667,5.161505161505162,4.757308274975189,0.40419688652997277,2.5633816203178526e-06
6,125.12,332.0,553.3333333333334,5.527805527805528,4.755507603122087,0.7722979246834409,2.6371465211304183e-06
7,125.14,327.0,545.0,5.444555444555444,4.753706931268987,0.6908485132864577,2.7129624456529393e-06
8,125.16,332.0,553.3333333333334,5.527805527805528,4.751906259415884,0.7758992683896437,2.7908842963038168e-06
9,125.18,327.0,545.0,5.444555444555444,4.750105587562782,0.6944498569926623,2.8709683838769704e-06
10,125.2,318.0,530.0,5.294705294705294,4.74830491570968,0.5464003789956147,2.953272461957914e-06
11,125.22,321.0,535.0,5.344655344655345,4.746504243856577,0.5981511007987672,3.037855762135119e-06
12,125.24,317.0,528.3333333333334,5.278055278055278,4.744703572003477,0.5333517060518007,3.124779030022739e-06
13,125.26,343.0,571.6666666666667,5.710955710955711,4.742902900150375,0.9680528108053368,3.214104562113003e-06
14,125.28,323.0,538.3333333333334,5.377955377955378,4.741102228297272,0.6368531496581058,3.3058962434755052e-06
15,125.3,342.0,570.0,5.694305694305694,4.73930155644417,0.9550041378615237,3.4002195863224512e-06
16,125.32,351.0,585.0,5.844155844155844,4.7375008845910695,1.106654959564774,3.49714176945729e-06
17,125.34,347.0,578.3333333333334,5.7775557775557775,4.735700212737967,1.0418555648178103,3.596731678626453e-06
18,125.36,350.0,583.3333333333334,5.827505827505828,4.733899540884865,1.0936062866209628,3.6990599477928876e-06
19,125.38,336.0,560.0,5.594405594405594,4.732098869031763,0.8623067253738315,3.8041990013519918e-06
20,125.4,300.0,500.0,4.995004995004995,4.73029819717866,0.2647067978263342,3.912223097308719e-06
21,125.42,324.0,540.0,5.394605394605394,4.728497525325558,0.6661078692798359,4.023208371436861e-06
22,125.44,334.0,556.6666666666667,5.5611055611055615,4.726696853472458,0.8344087076331039,4.1372328824420746e-06
23,125.46,314.0,523.3333333333334,5.228105228105228,4.724896181619355,0.503209046485873,4.254376658148415e-06
24,125.48,314.0,523.3333333333334,5.228105228105228,4.723095509766253,0.5050097183389752,4.374721742731103e-06
25,125.5,358.0,596.6666666666667,5.960705960705961,4.721294837913151,1.2394111227928102,4.498352245016922e-06
26,125.52,290.0,483.33333333333337,4.828504828504829,4.71949416606005,0.10901066244477864,4.625354387875708e-06
27,125.54,337.0,561.6666666666667,5.611055611055611,4.717693494206948,0.893362116848663,4.7558165587244635e-06
28,125.56,336.0,560.0,5.594405594405594,4.715892822353846,0.8785127720517485,4.889829361168163e-06
29,125.58,317.0,528.3333333333334,5.278055278055278,4.714092150500743,0.5639631275545343,5.027485667801688e-06
30,125.6,334.0,556.6666666666667,5.5611055611055615,4.712291478647643,0.8488140824579187,5.168880674195738e-06
31,125.62,330.0,550.0,5.494505494505494,4.710490806794539,0.7840146877109548,5.314111954092553e-06
32,125.64,316.0,526.6666666666667,5.261405261405262,4.708690134941438,0.5527151264638235,5.463279515835682e-06
33,125.66,362.0,603.3333333333334,6.027306027306027,4.706889463088336,1.320416564217691,5.616485860061032e-06
34,125.68,332.0,553.3333333333334,5.527805527805528,4.705088791235234,0.8227167365702943,5.773836038673316e-06
35,125.7,340.0,566.6666666666667,5.661005661005661,4.703288119382131,0.9577175416235297,5.935437715135521e-06
36,125.72,332.0,553.3333333333334,5.527805527805528,4.701487447529031,0.8263180802764971,6.101401226099496e-06
37,125.74,324.0,540.0,5.394605394605394,4.699686775675929,0.6949186189294654,6.271839644403174e-06
38,125.76,328.0,546.6666666666667,5.461205461205462,4.697886103822826,0.7633193573826356,6.446868843464482e-06
39,125.78,338.0,563.3333333333334,5.627705627705628,4.696085431969724,0.9316201957359036,6.626607563099055e-06
40,125.8,330.0,550.0,5.494505494505494,4.6942847601166235,0.8002207343888701,6.811177476793069e-06
41,125.82,342.0,570.0,5.694305694305694,4.692484088263521,1.0018216060421725,7.000703260458463e-06
42,125.84,310.0,516.6666666666667,5.161505161505162,4.690683416410419,0.47082174509474317,7.195312662702745e-06
43,125.86,328.0,546.6666666666667,5.461205461205462,4.688882744557317,0.7723227166481452,7.395136576642922e-06
44,125.88,317.0,528.3333333333334,5.278055278055278,4.687082072704216,0.5909732053510615,7.600309113296818e-06
45,125.9,315.0,525.0,5.244755244755244,4.685281400851112,0.559473843904132,7.810967676581651e-06
46,125.92,325.0,541.6666666666667,5.411255411255412,4.683480728998012,0.7277746822574,8.027253039953296e-06
47,125.94,294.0,490.0,4.895104895104895,4.681680057144909,0.21342483795998568,8.24930942472095e-06
48,125.96,326.0,543.3333333333334,5.427905427905428,4.679879385291809,0.7480260426136196,8.47728458006839e-06
49,125.98,307.0,511.6666666666667,5.111555111555111,4.678078713438705,0.43347639811640626,8.7113298648182e-06
50,126.0,319.0,531.6666666666667,5.311355311355312,4.676278041585604,0.6350772697697078,8.951600330972568e-06
51,126.02,332.0,553.3333333333334,5.527805527805528,4.674477369732502,0.8533281580730261,9.198254809068989e-06
52,126.04,311.0,518.3333333333334,5.178155178155178,4.6726766978794,0.5054784802757784,9.45145599538348e-06
53,126.06,301.0,501.6666666666667,5.011655011655011,4.670876026026297,0.340778985628714,9.711370541020578e-06
54,126.08,331.0,551.6666666666667,5.511155511155511,4.669075354173197,0.8420801569823144,9.978169142928869e-06
55,126.1,298.0,496.6666666666667,4.961704961704961,4.667274682320095,0.29443027938486654,1.0252026636877189e-05
56,126.12,322.0,536.6666666666667,5.361305361305361,4.665474010466992,0.6958313508383691,1.0533122092433368e-05
57,126.14,322.0,536.6666666666667,5.361305361305361,4.66367333861389,0.6976320226914714,1.082163890998296e-05
58,126.16,322.0,536.6666666666667,5.361305361305361,4.6618726667607895,0.6994326945445719,1.111776491983172e-05
59,126.18,300.0,500.0,4.995004995004995,4.660071994907685,0.3349330000973092,1.1421692483428899e-05
60,126.2,275.0,458.33333333333337,4.5787545787545785,4.658271323054585,-0.07951674430000644,1.1733618596755335e-05
61,126.22,307.0,511.6666666666667,5.111555111555111,4.656470651201483,0.4550844603536284,1.20537449959205e-05
62,126.24,320.0,533.3333333333334,5.328005328005328,4.654669979348382,0.6733353486569458,1.2382278265008347e-05
63,126.26,336.0,560.0,5.594405594405594,4.652869307495278,0.9415362869103161,1.2719429946219108e-05
64,126.28,304.0,506.6666666666667,5.061605061605062,4.6510686356421775,0.4105364259628841,1.3065416652349472e-05
65,126.3,319.0,531.6666666666667,5.311355311355312,4.649267963789075,0.6620873475662368,1.3420460181660422e-05
66,126.32,311.0,518.3333333333334,5.178155178155178,4.647467291935973,0.530687886219205,1.3784787635174842e-05
67,126.34,307.0,511.6666666666667,5.111555111555111,4.645666620082871,0.4658884914722403,1.4158631536455676e-05
68,126.36,296.0,493.33333333333337,4.9284049284049285,4.64386594822977,0.28453898017515833,1.4542229953909774e-05
69,126.38,320.0,533.3333333333334,5.328005328005328,4.642065276376668,0.68594005162866,1.493582662567098e-05
70,126.4,307.0,511.6666666666667,5.111555111555111,4.640264604523566,0.4712905070315454,1.5339671087106695e-05
71,126.42,330.0,550.0,5.494505494505494,4.638463932670463,0.8560415618350303,1.5754018801001336e-05
72,126.44,281.0,468.33333333333337,4.678654678654679,4.636663260817363,0.04199141783731619,1.6179131290470678e-05
73,126.46,344.0,573.3333333333334,5.727605727605727,4.6348625889642605,1.0927431386414668,1.6615276274654012e-05
74,126.48,329.0,548.3333333333334,5.477855477855478,4.633061917111158,0.8447935607443195,1.7062727807242208e-05
75,126.5,313.0,521.6666666666667,5.211455211455212,4.631261245258056,0.5801939661971565,1.7521766417892184e-05
76,126.52,292.0,486.6666666666667,4.8618048618048615,4.629460573404954,0.23234428839990784,1.799267925658798e-05
77,126.54,316.0,526.6666666666667,5.261405261405262,4.627659901551851,0.6337453598534104,1.8475760240998567e-05
78,126.56,269.0,448.33333333333337,4.478854478854479,4.625859229698751,-0.147004750844272,1.897131020689203e-05
