,L,cps,cps_per_nA,cps_per_nA_stdev
0,125.0,128.59999999999997,2.574526487780834,0.30484757853647537
1,125.1,123.26666666666665,2.4677356881921875,0.293973935954163
2,125.2,125.46666666666667,2.511717742505312,0.22313131583936774
3,125.3,122.06666666666668,2.4437102834218463,0.21937119738512234
4,125.4,120.00000000000003,2.4022645122345656,0.2521306781082216
5,125.5,117.2,2.3462244484460166,0.1990662863058744
6,125.6,113.6,2.274187878633911,0.25492487950026704
7,125.7,114.13333333333333,2.2847893738464053,0.21958533152299084
8,125.8,120.73333333333335,2.4169784280595343,0.2953606833051042
9,125.9,117.13333333333335,2.344928500794949,0.2524538925911006
10,126.0,109.2,2.186124076156269,0.1844153973659985
11,126.1,118.86666666666667,2.379598930838465,0.18551126681986027
12,126.2,108.13333333333335,2.164780090935307,0.22872819962385416
13,126.3,110.13333333333335,2.2047546612417324,0.21183457392955793
14,126.4,106.33333333333334,2.1287034246314502,0.2523596144779449
15,126.5,113.4,2.2701464915342817,0.3062748413326039
16,126.6,110.26666666666665,2.2074098570315455,0.19801801762666987
17,126.7,108.53333333333333,2.172758441824923,0.24796730047016474
18,126.8,102.20000000000002,2.045953718821976,0.17205346052735185
19,126.9,107.33333333333334,2.148746422860659,0.19998556385424596
20,127.0,106.06666666666668,2.123351423472326,0.2004787454840823
21,127.1,106.53333333333333,2.132689517451893,0.18267706192844757
22,127.2,108.66666666666667,2.1754304472829142,0.22823174888378558
23,127.3,110.33333333333333,2.2087635014803055,0.23292206446187713
24,127.4,107.26666666666665,2.1473660664320877,0.160316294254955
25,127.5,106.86666666666665,2.139379967407018,0.24536412724777074
26,127.6,105.13333333333335,2.1046724692970757,0.24543114315039666
27,127.7,111.0,2.222101884845231,0.20622165714870047
28,127.8,107.0,2.142034620556662,0.15322664666509395
29,127.9,109.66666666666667,2.1954269491199736,0.21184332913414788
30,128.0,110.40000000000002,2.210066365149348,0.21967746605576918
31,128.1,103.26666666666665,2.067362921299918,0.20834182676181412
32,128.2,105.0,2.101996155922242,0.13804754343668416
33,128.3,101.66666666666666,2.0352560603616077,0.2615533199187789
34,128.4,104.4,2.089986808556961,0.206931341904093
35,128.5,101.8,2.03799513159235,0.23630602884556237
36,128.6,99.73333333333333,1.9965605779296716,0.21470518078634687
37,128.7,94.4,1.8898108722153815,0.22272982282186374
38,128.8,96.26666666666667,1.927153802451287,0.17961963091753325
39,128.9,94.06666666666666,1.883184801604959,0.21552752389162916
40,129.0,92.06666666666668,1.843138093157637,0.24175075740711982
41,129.1,100.33333333333334,2.008623887388815,0.21911334057512893
42,129.2,92.39999999999999,1.849726158467868,0.2727816761240617
43,129.3,97.2,1.94584716986345,0.18642546649453628
44,129.4,94.66666666666666,1.895147416258493,0.24230291791229452
45,129.5,92.33333333333333,1.848409990145481,0.1919642082380983
46,129.6,90.80000000000001,1.8177059197268544,0.21971673238773326
47,129.7,91.13333333333335,1.8243968929754655,0.18246100876121335
48,129.8,86.73333333333333,1.7362930037079571,0.1949768332216124
49,129.9,90.66666666666667,1.8151098023567798,0.24676258524148426
50,130.0,91.33333333333333,1.8284356395089478,0.23970574540671585
51,130.1,92.00000000000001,1.84174918905562,0.1972397203646544
52,130.2,89.60000000000001,1.7936976670124198,0.23066408096063823
53,130.3,88.6,1.7736519883429822,0.24327930083837404
54,130.4,87.00000000000001,1.7416223409536578,0.23106756131224598
55,130.5,85.0,1.7016455974358144,0.20423751164561085
56,130.6,81.46666666666667,1.6309514441852808,0.17590685469918071
57,130.7,82.26666666666665,1.6469450249445745,0.1734649825907798
58,130.8,83.0,1.6615641244921275,0.21799236225315402
59,130.9,76.86666666666667,1.5388043061322627,0.18380480252253054
60,131.0,80.13333333333333,1.6042115902333154,0.24844013983868882
61,131.1,82.26666666666665,1.646919139453518,0.21196477923596488
62,131.2,73.6,1.473397538772972,0.1849310646166444
63,131.3,74.53333333333333,1.4920807141610197,0.2180147400148285
64,131.4,76.73333333333333,1.5361317510823143,0.25824987324738385
65,131.5,71.13333333333334,1.4240390854538043,0.2218088352201179
66,131.6,76.33333333333333,1.5281721127196166,0.19518150963549488
67,131.7,79.26666666666668,1.5868307136273847,0.21868871319736427
68,131.8,72.66666666666667,1.4547239375139438,0.18880945673414767
69,131.9,74.66666666666667,1.4947701375349691,0.18453514447715566
70,132.0,74.19999999999999,1.485415146873202,0.21286075697238024
71,132.1,72.6,1.4534103549036048,0.15499495962621163
72,132.2,70.33333333333333,1.408053817373466,0.18049158496254603
73,132.3,69.53333333333333,1.3919741902203326,0.15904031663389961
74,132.4,65.73333333333333,1.3159849365253526,0.24583850352466058
75,132.5,70.8,1.4173494642118307,0.19276163789796913
76,132.6,67.33333333333334,1.3479752937669283,0.16042494806965546
77,132.7,72.60000000000001,1.4533871191769936,0.21140495081751182
78,132.8,65.46666666666667,1.310610741815707,0.20527334171788897
79,132.9,65.93333333333332,1.3199208028479585,0.14858361348117205
80,133.0,63.60000000000001,1.2732178403660657,0.12910504550744717
81,133.1,68.26666666666665,1.3666230181969055,0.15230000949763803
82,133.2,62.999999999999986,1.2611972641419906,0.15617140646411903
83,133.3,65.93333333333334,1.3199429899791613,0.19360337943963105
84,133.4,62.333333333333336,1.2478871897253918,0.19466556154895925
85,133.5,64.6,1.293217305637326,0.22861716553563272
86,133.6,60.533333333333324,1.2117846335427298,0.20446502447449547
87,133.7,63.26666666666667,1.2665487847849237,0.22416628335971003
88,133.8,61.333333333333336,1.2278762804123737,0.23302927072505417
89,133.9,63.0,1.2611948498577576,0.14432800785716446
