,L,counts,cps,cps_per_nA
0,125.0,118.0,196.66666666666669,1.9647019647019648
1,125.02,112.0,186.66666666666669,1.864801864801865
2,125.04,108.0,180.0,1.7982017982017982
3,125.06,125.0,208.33333333333334,2.081252081252081
4,125.08,117.0,195.0,1.9480519480519478
5,125.1,132.0,220.0,2.1978021978021975
6,125.12,106.0,176.66666666666669,1.7649017649017649
7,125.14,120.0,200.0,1.9980019980019978
8,125.16,136.0,226.66666666666669,2.2644022644022646
9,125.18,116.0,193.33333333333334,1.9314019314019313
10,125.2,129.0,215.0,2.1478521478521477
11,125.22,114.0,190.0,1.898101898101898
12,125.24,124.0,206.66666666666669,2.0646020646020644
13,125.26,107.0,178.33333333333334,1.7815517815517814
14,125.28,117.0,195.0,1.9480519480519478
15,125.3,119.0,198.33333333333334,1.9813519813519813
16,125.32,108.0,180.0,1.7982017982017982
17,125.34,126.0,210.0,2.097902097902098
18,125.36,112.0,186.66666666666669,1.864801864801865
19,125.38,115.0,191.66666666666669,1.9147519147519148
20,125.4,126.0,210.0,2.097902097902098
21,125.42,142.0,236.66666666666669,2.364302364302364
22,125.44,132.0,220.0,2.1978021978021975
23,125.46,126.0,210.0,2.097902097902098
24,125.48,114.0,190.0,1.898101898101898
25,125.5,93.0,155.0,1.5484515484515484
26,125.52,131.0,218.33333333333334,2.1811521811521812
27,125.54,104.0,173.33333333333334,1.7316017316017316
28,125.56,118.0,196.66666666666669,1.9647019647019648
29,125.58,121.0,201.66666666666669,2.0146520146520146
30,125.6,136.0,226.66666666666669,2.2644022644022646
31,125.62,135.0,225.0,2.2477522477522474
32,125.64,113.0,188.33333333333334,1.8814518814518815
33,125.66,112.0,186.66666666666669,1.864801864801865
34,125.68,99.0,165.0,1.6483516483516483
35,125.7,105.0,175.0,1.7482517482517481
36,125.72,134.0,223.33333333333334,2.231102231102231
37,125.74,108.0,180.0,1.7982017982017982
38,125.76,123.0,205.0,2.0479520479520477
39,125.78,104.0,173.33333333333334,1.7316017316017316
40,125.8,114.0,190.0,1.898101898101898
41,125.82,103.0,171.66666666666669,1.714951714951715
42,125.84,118.0,196.66666666666669,1.9647019647019648
43,125.86,128.0,213.33333333333334,2.131202131202131
44,125.88,111.0,185.0,1.848151848151848
45,125.9,121.0,201.66666666666669,2.0146520146520146
46,125.92,117.0,195.0,1.9480519480519478
47,125.94,99.0,165.0,1.6483516483516483
48,125.96,111.0,185.0,1.848151848151848
49,125.98,116.0,193.33333333333334,1.9314019314019313
50,126.0,111.0,185.0,1.848151848151848
51,126.02,113.0,188.33333333333334,1.8814518814518815
52,126.04,116.0,193.33333333333334,1.9314019314019313
53,126.06,118.0,196.66666666666669,1.9647019647019648
54,126.08,138.0,230.0,2.2977022977022976
55,126.1,112.0,186.66666666666669,1.864801864801865
56,126.12,137.0,228.33333333333334,2.281052281052281
57,126.14,111.0,185.0,1.848151848151848
58,126.16,100.0,166.66666666666669,1.665001665001665
59,126.18,105.0,175.0,1.7482517482517481
60,126.2,119.0,198.33333333333334,1.9813519813519813
61,126.22,126.0,210.0,2.097902097902098
62,126.24,107.0,178.33333333333334,1.7815517815517814
63,126.26,110.0,183.33333333333334,1.8315018315018314
64,126.28,118.0,196.66666666666669,1.9647019647019648
65,126.3,113.0,188.33333333333334,1.8814518814518815
66,126.32,120.0,200.0,1.9980019980019978
67,126.34,104.0,173.33333333333334,1.7316017316017316
68,126.36,106.0,176.66666666666669,1.7649017649017649
69,126.38,100.0,166.66666666666669,1.665001665001665
70,126.4,123.0,205.0,2.0479520479520477
71,126.42,119.0,198.33333333333334,1.9813519813519813
72,126.44,114.0,190.0,1.898101898101898
73,126.46,118.0,196.66666666666669,1.9647019647019648
74,126.48,124.0,206.66666666666669,2.0646020646020644
75,126.5,107.0,178.33333333333334,1.7815517815517814
76,126.52,122.0,203.33333333333334,2.0313020313020314
77,126.54,114.0,190.0,1.898101898101898
78,126.56,129.0,215.0,2.1478521478521477
79,126.58,120.0,200.0,1.9980019980019978
80,126.6,120.0,200.0,1.9980019980019978
81,126.62,97.0,161.66666666666669,1.6150516150516152
82,126.64,106.0,176.66666666666669,1.7649017649017649
83,126.66,108.0,180.0,1.7982017982017982
84,126.68,119.0,198.33333333333334,1.9813519813519813
85,126.7,109.0,181.66666666666669,1.814851814851815
86,126.72,110.0,183.33333333333334,1.8315018315018314
87,126.74,103.0,171.66666666666669,1.714951714951715
88,126.76,103.0,171.66666666666669,1.714951714951715
89,126.78,123.0,205.0,2.0479520479520477
90,126.8,100.0,166.66666666666669,1.665001665001665
91,126.82,131.0,218.33333333333334,2.1811521811521812
92,126.84,122.0,203.33333333333334,2.0313020313020314
93,126.86,108.0,180.0,1.7982017982017982
94,126.88,109.0,181.66666666666669,1.814851814851815
95,126.9,104.0,173.33333333333334,1.7316017316017316
96,126.92,124.0,206.66666666666669,2.0646020646020644
97,126.94,116.0,193.33333333333334,1.9314019314019313
98,126.96,110.0,183.33333333333334,1.8315018315018314
99,126.98,124.0,206.66666666666669,2.0646020646020644
100,127.0,117.0,195.0,1.9480519480519478
101,127.02,123.0,205.0,2.0479520479520477
102,127.04,128.0,213.33333333333334,2.131202131202131
103,127.06,119.0,198.33333333333334,1.9813519813519813
104,127.08,100.0,166.66666666666669,1.665001665001665
105,127.1,115.0,191.66666666666669,1.9147519147519148
106,127.12,108.0,180.0,1.7982017982017982
107,127.14,108.0,180.0,1.7982017982017982
108,127.16,110.0,183.33333333333334,1.8315018315018314
109,127.18,118.0,196.66666666666669,1.9647019647019648
110,127.2,93.0,155.0,1.5484515484515484
111,127.22,131.0,218.33333333333334,2.1811521811521812
112,127.24,96.0,160.0,1.5984015984015982
113,127.26,106.0,176.66666666666669,1.7649017649017649
114,127.28,109.0,181.66666666666669,1.814851814851815
115,127.3,103.0,171.66666666666669,1.714951714951715
116,127.32,96.0,160.0,1.5984015984015982
117,127.34,105.0,175.0,1.7482517482517481
118,127.36,103.0,171.66666666666669,1.714951714951715
119,127.38,119.0,198.33333333333334,1.9813519813519813
120,127.4,106.0,176.66666666666669,1.7649017649017649
121,127.42,122.0,203.33333333333334,2.0313020313020314
122,127.44,115.0,191.66666666666669,1.9147519147519148
123,127.46,114.0,190.0,1.898101898101898
124,127.48,121.0,201.66666666666669,2.0146520146520146
125,127.5,100.0,166.66666666666669,1.665001665001665
126,127.52,106.0,176.66666666666669,1.7649017649017649
127,127.54,110.0,183.33333333333334,1.8315018315018314
128,127.56,105.0,175.0,1.7482517482517481
129,127.58,116.0,193.33333333333334,1.9314019314019313
130,127.6,122.0,203.33333333333334,2.0313020313020314
131,127.62,99.0,165.0,1.6483516483516483
132,127.64,124.0,206.66666666666669,2.0646020646020644
133,127.66,122.0,203.33333333333334,2.0313020313020314
134,127.68,112.0,186.66666666666669,1.864801864801865
135,127.7,108.0,180.0,1.7982017982017982
136,127.72,95.0,158.33333333333334,1.5817515817515817
137,127.74,108.0,180.0,1.7982017982017982
138,127.76,121.0,201.66666666666669,2.0146520146520146
139,127.78,116.0,193.33333333333334,1.9314019314019313
140,127.8,119.0,198.33333333333334,1.9813519813519813
141,127.82,87.0,145.0,1.4485514485514484
142,127.84,114.0,190.0,1.898101898101898
