,mean,se,stdev,time,Time
0,40.5,7.5,7.5,0.0,0.0
1,43.5,0.5,0.5,1.93,1.93
2,52.5,0.5,0.5,3.86,3.86
3,56.5,2.5,2.5,5.79,5.79
4,58.0,10.0,10.0,7.72,7.72
5,50.5,4.5,4.5,9.65,9.65
6,50.0,1.0,1.0,11.58,11.58
7,54.5,0.5,0.5,13.51,13.51
8,59.5,1.4999999999999998,1.5,15.44,15.44
9,44.5,1.4999999999999998,1.5,17.37,17.37
10,51.5,0.5,0.5,19.3,19.3
11,48.0,4.0,4.0,21.23,21.23
12,52.5,2.5,2.5,23.16,23.16
13,58.0,1.0,1.0,25.09,25.09
14,49.0,4.0,4.0,27.02,27.02
15,46.0,10.0,10.0,28.95,28.95
16,49.5,2.5,2.5,30.88,30.88
17,46.0,5.0,5.0,32.81,32.81
18,49.5,3.4999999999999996,3.5,34.74,34.74
19,49.5,6.499999999999999,6.5,36.67,36.67
20,53.0,2.9999999999999996,3.0,38.6,38.6
21,46.5,4.5,4.5,40.53,40.53
22,54.0,4.0,4.0,42.46,42.46
23,49.0,5.999999999999999,6.0,44.39,44.39
24,52.5,0.5,0.5,46.32,46.32
25,52.5,3.4999999999999996,3.5,48.25,48.25
26,55.0,5.0,5.0,50.18,50.18
27,40.5,0.5,0.5,52.11,52.11
28,63.0,5.0,5.0,54.04,54.04
29,58.5,13.5,13.5,55.97,55.97
30,45.5,1.4999999999999998,1.5,57.9,57.9
31,64.0,2.0,2.0,59.83,59.83
32,49.5,2.5,2.5,61.76,61.76
33,50.0,2.9999999999999996,3.0,63.69,63.69
34,47.0,1.0,1.0,65.62,65.62
35,43.0,0.0,0.0,67.55,67.55
36,43.0,0.0,0.0,69.48,69.48
37,65.0,2.0,2.0,71.41,71.41
38,52.0,5.0,5.0,73.34,73.34
