,mean,se,stdev,time,Time
0,18.333333333333332,0.6666666666666666,0.9428090415820634,0.0,0.0
1,27.333333333333332,3.5276684147527875,4.988876515698588,1.93,1.93
2,20.333333333333332,1.3333333333333335,1.8856180831641267,3.86,3.86
3,18.666666666666668,1.3333333333333335,1.8856180831641267,5.79,5.79
4,20.333333333333332,1.3333333333333335,1.8856180831641267,7.72,7.72
5,18.0,3.6055512754639896,5.0990195135927845,9.65,9.65
6,19.666666666666668,2.728450923957484,3.8586123009300755,11.58,11.58
7,17.333333333333332,0.33333333333333337,0.4714045207910317,13.51,13.51
8,24.333333333333332,7.965202096899015,11.264496832477201,15.44,15.44
9,15.0,1.5275252316519468,2.160246899469287,17.37,17.37
10,13.666666666666666,1.2018504251546631,1.699673171197595,19.3,19.3
11,11.0,1.0,1.4142135623730951,21.23,21.23
12,14.333333333333334,1.2018504251546633,1.699673171197595,23.16,23.16
13,12.333333333333334,2.185812841434,3.0912061651652345,25.09,25.09
14,15.0,1.0,1.4142135623730951,27.02,27.02
15,10.333333333333334,0.881917103688197,1.247219128924647,28.95,28.95
16,12.666666666666666,1.7638342073763937,2.494438257849294,30.88,30.88
17,11.0,2.5166114784235836,3.559026084010437,32.81,32.81
18,12.0,1.7320508075688774,2.449489742783178,34.74,34.74
19,8.666666666666666,1.2018504251546631,1.699673171197595,36.67,36.67
20,6.333333333333333,0.8819171036881969,1.247219128924647,38.6,38.6
21,10.0,0.5773502691896258,0.816496580927726,40.53,40.53
22,9.666666666666666,2.0275875100994067,2.8674417556808756,42.46,42.46
23,13.0,5.131601439446884,7.2571803523590805,44.39,44.39
24,8.666666666666666,0.6666666666666667,0.9428090415820634,46.32,46.32
25,7.666666666666667,1.6666666666666667,2.357022603955158,48.25,48.25
26,7.0,2.5166114784235836,3.559026084010437,50.18,50.18
27,7.0,1.5275252316519468,2.160246899469287,52.11,52.11
28,9.0,1.0,1.4142135623730951,54.04,54.04
29,10.333333333333334,3.8441875315569325,5.436502143433364,55.97,55.97
30,8.0,1.5275252316519468,2.160246899469287,57.9,57.9
31,6.333333333333333,2.8480012484391772,4.0276819911981905,59.83,59.83
32,8.666666666666666,2.6666666666666665,3.7712361663282534,61.76,61.76
33,4.333333333333333,0.6666666666666667,0.9428090415820634,63.69,63.69
34,7.333333333333333,1.2018504251546631,1.699673171197595,65.62,65.62
35,4.333333333333333,1.4529663145135578,2.0548046676563256,67.55,67.55
36,6.666666666666667,2.185812841434,3.0912061651652345,69.48,69.48
37,9.333333333333334,2.0275875100994067,2.8674417556808756,71.41,71.41
38,5.0,2.0,2.8284271247461903,73.34,73.34
39,7.0,1.1547005383792517,1.632993161855452,75.27,75.27
40,5.333333333333333,0.33333333333333337,0.4714045207910317,77.2,77.2
41,8.333333333333334,2.0275875100994067,2.8674417556808756,79.13,79.13
42,6.666666666666667,0.33333333333333337,0.4714045207910317,81.06,81.06
43,7.333333333333333,2.6034165586355518,3.6817870057290873,82.99,82.99
44,5.333333333333333,1.2018504251546631,1.699673171197595,84.92,84.92
45,6.666666666666667,1.3333333333333333,1.8856180831641267,86.85,86.85
46,8.0,2.0,2.8284271247461903,88.78,88.78
47,6.333333333333333,2.6034165586355518,3.6817870057290873,90.71,90.71
48,3.0,0.5773502691896258,0.816496580927726,92.64,92.64
49,7.666666666666667,2.8480012484391772,4.0276819911981905,94.57,94.57
50,5.666666666666667,2.185812841434,3.0912061651652345,96.5,96.5
51,6.333333333333333,2.185812841434,3.0912061651652345,98.42999999999999,98.42999999999999
52,6.666666666666667,2.96273147243853,4.189935029992178,100.36,100.36
53,5.666666666666667,0.33333333333333337,0.4714045207910317,102.28999999999999,102.28999999999999
54,8.666666666666666,3.1797973380564857,4.4969125210773475,104.22,104.22
55,7.666666666666667,1.855921454276674,2.6246692913372702,106.14999999999999,106.14999999999999
56,4.333333333333333,1.2018504251546631,1.699673171197595,108.08,108.08
57,6.0,1.7320508075688774,2.449489742783178,110.00999999999999,110.00999999999999
58,6.0,2.5166114784235836,3.559026084010437,111.94,111.94
59,9.333333333333334,1.2018504251546631,1.699673171197595,113.86999999999999,113.86999999999999
60,6.0,0.5773502691896258,0.816496580927726,115.8,115.8
61,5.333333333333333,0.6666666666666667,0.9428090415820634,117.72999999999999,117.72999999999999
62,8.666666666666666,2.185812841434,3.0912061651652345,119.66,119.66
63,4.666666666666667,0.8819171036881969,1.247219128924647,121.58999999999999,121.58999999999999
64,6.0,0.5773502691896258,0.816496580927726,123.52,123.52
65,6.666666666666667,4.0551750201988135,5.734883511361751,125.45,125.45
66,6.333333333333333,1.8559214542766742,2.6246692913372702,127.38,127.38
67,3.3333333333333335,0.6666666666666666,0.9428090415820634,129.31,129.31
68,3.6666666666666665,1.452966314513558,2.0548046676563256,131.24,131.24
69,7.666666666666667,1.2018504251546631,1.699673171197595,133.17,133.17
70,7.0,1.5275252316519468,2.160246899469287,135.1,135.1
71,8.0,2.886751345948129,4.08248290463863,137.03,137.03
72,6.0,2.0,2.8284271247461903,138.96,138.96
73,3.6666666666666665,0.33333333333333337,0.4714045207910317,140.89,140.89
74,5.666666666666667,0.8819171036881969,1.247219128924647,142.82,142.82
75,6.0,1.5275252316519468,2.160246899469287,144.75,144.75
76,6.666666666666667,1.6666666666666667,2.357022603955158,146.68,146.68
77,6.666666666666667,0.33333333333333337,0.4714045207910317,148.60999999999999,148.60999999999999
78,4.666666666666667,0.6666666666666667,0.9428090415820634,150.54,150.54
79,4.333333333333333,1.6666666666666667,2.357022603955158,152.47,152.47
80,6.0,2.3094010767585034,3.265986323710904,154.4,154.4
81,9.0,2.0816659994661326,2.943920288775949,156.32999999999998,156.32999999999998
82,7.0,1.5275252316519468,2.160246899469287,158.26,158.26
83,7.0,0.0,0.0,160.19,160.19
84,5.666666666666667,1.7638342073763937,2.494438257849294,162.12,162.12
85,5.666666666666667,0.8819171036881969,1.247219128924647,164.04999999999998,164.04999999999998
86,2.3333333333333335,0.881917103688197,1.247219128924647,165.98,165.98
87,3.0,0.5773502691896258,0.816496580927726,167.91,167.91
88,4.0,1.5275252316519468,2.160246899469287,169.84,169.84
89,3.6666666666666665,1.8559214542766742,2.6246692913372702,171.76999999999998,171.76999999999998
90,5.666666666666667,1.2018504251546631,1.699673171197595,173.7,173.7
