"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Sr WT%"	"  Fe WT%"	"   K WT%"	"  Ba WT%"	"  Na WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Sr AT%"	"  Fe AT%"	"   K AT%"	"  Ba AT%"	"  Na AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  hyalophane_50nA_20um_BNcalibr_1"	       1	       0	 .203533	 .058588	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3770	 100.401	 .000000	 .000000	 .000000	 .003486	 .013944	 .195271	 .105598	 .000934	 .000062	 .031324	 .032208	 .011752	 .605423	 .000957	604	"Boron Nitride (BN)"
"Un    2  hyalophane_50nA_20um_BNcalibr_2"	       2	       0	 .162824	 .046870	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3537	 100.325	 .000000	 .000000	 .000000	 .002800	 .011198	 .196023	 .106004	 .000937	 .000062	 .031445	 .032332	 .011797	 .607403	 .000766	604	"Boron Nitride (BN)"
"Un    3  hyalophane_50nA_20um_BNcalibr_3"	       3	       0	 .174356	 .050189	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3603	 100.346	 .000000	 .000000	 .000000	 .002995	 .011978	 .195809	 .105889	 .000936	 .000062	 .031410	 .032296	 .011784	 .606841	 .000820	604	"Boron Nitride (BN)"
"Un    4  hyalophane_50nA_20um_BNcalibr_4"	       4	       0	 .174867	 .050337	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3606	 100.347	 .000000	 .000000	 .000000	 .003003	 .012013	 .195800	 .105884	 .000936	 .000062	 .031409	 .032295	 .011783	 .606816	 .000822	604	"Boron Nitride (BN)"
"Un    5  hyalophane_50nA_20um_BNcalibr_5"	       5	       0	 .201931	 .058127	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3761	 100.398	 .000000	 .000000	 .000000	 .003459	 .013837	 .195301	 .105614	 .000934	 .000062	 .031329	 .032212	 .011753	 .605500	 .000950	604	"Boron Nitride (BN)"
