"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Sr WT%"	"  Fe WT%"	"   K WT%"	"  Ba WT%"	"  Na WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Sr AT%"	"  Fe AT%"	"   K AT%"	"  Ba AT%"	"  Na AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  hyalophane_50nA_20um_BNcalibr_1"	       1	       0	 .211998	 .061025	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3818	 100.416	 .000000	 .000000	 .000000	 .003628	 .014513	 .195116	 .105514	 .000933	 .000062	 .031299	 .032182	 .011742	 .605013	 .000997	604	"Boron Nitride (BN)"
"Un    2  hyalophane_50nA_20um_BNcalibr_2"	       2	       0	 .169598	 .048820	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3576	 100.338	 .000000	 .000000	 .000000	 .002914	 .011657	 .195897	 .105936	 .000937	 .000062	 .031424	 .032311	 .011789	 .607073	 .000797	604	"Boron Nitride (BN)"
"Un    3  hyalophane_50nA_20um_BNcalibr_3"	       3	       0	 .181609	 .052277	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3645	 100.360	 .000000	 .000000	 .000000	 .003117	 .012468	 .195675	 .105816	 .000936	 .000062	 .031389	 .032274	 .011776	 .606487	 .000854	604	"Boron Nitride (BN)"
"Un    4  hyalophane_50nA_20um_BNcalibr_4"	       4	       0	 .182142	 .052431	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3648	 100.361	 .000000	 .000000	 .000000	 .003126	 .012504	 .195665	 .105811	 .000936	 .000062	 .031387	 .032273	 .011775	 .606461	 .000856	604	"Boron Nitride (BN)"
"Un    5  hyalophane_50nA_20um_BNcalibr_5"	       5	       0	 .210329	 .060544	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3809	 100.413	 .000000	 .000000	 .000000	 .003600	 .014401	 .195146	 .105530	 .000933	 .000062	 .031304	 .032187	 .011744	 .605093	 .000989	604	"Boron Nitride (BN)"
