Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 10:56:59	3392.00	126.00
13/04/2018 10:57:00	3389.00	123.00
13/04/2018 10:57:02	3226.00	107.00
13/04/2018 10:57:04	3305.00	114.00
13/04/2018 10:57:06	3142.00	98.00
13/04/2018 10:57:08	3051.00	90.00
13/04/2018 10:57:10	3020.00	98.00
13/04/2018 10:57:12	2927.00	88.00
13/04/2018 10:57:14	2930.00	84.00
13/04/2018 10:57:15	3008.00	86.00
13/04/2018 10:57:18	2814.00	70.00
13/04/2018 10:57:20	2872.00	74.00
13/04/2018 10:57:22	2802.00	93.00
13/04/2018 10:57:24	2692.00	83.00
13/04/2018 10:57:26	2799.00	79.00
13/04/2018 10:57:28	2815.00	77.00
13/04/2018 10:57:30	2749.00	64.00
13/04/2018 10:57:33	2731.00	64.00
13/04/2018 10:57:35	2695.00	57.00
13/04/2018 10:57:37	2704.00	76.00
13/04/2018 10:57:39	2585.00	59.00
13/04/2018 10:57:41	2702.00	80.00
13/04/2018 10:57:43	2617.00	69.00
13/04/2018 10:57:45	2631.00	78.00
13/04/2018 10:57:47	2603.00	70.00
13/04/2018 10:57:49	2573.00	66.00
13/04/2018 10:57:51	2632.00	73.00
13/04/2018 10:57:53	2621.00	70.00
13/04/2018 10:57:55	2668.00	60.00
13/04/2018 10:57:57	2604.00	75.00
13/04/2018 10:57:59	2631.00	64.00
13/04/2018 10:58:01	2584.00	61.00
13/04/2018 10:58:03	2445.00	68.00
13/04/2018 10:58:05	2546.00	65.00
13/04/2018 10:58:07	2554.00	76.00
13/04/2018 10:58:09	2537.00	62.00
13/04/2018 10:58:11	2574.00	81.00
13/04/2018 10:58:13	2449.00	66.00
13/04/2018 10:58:16	2518.00	62.00
13/04/2018 10:58:18	2476.00	71.00
13/04/2018 10:58:19	2563.00	68.00
13/04/2018 10:58:21	2433.00	76.00
13/04/2018 10:58:23	2452.00	55.00
13/04/2018 10:58:25	2331.00	57.00
13/04/2018 10:58:27	2401.00	63.00
13/04/2018 10:58:29	2397.00	60.00
13/04/2018 10:58:32	2385.00	51.00
13/04/2018 10:58:33	2389.00	74.00
13/04/2018 10:58:35	2368.00	62.00
13/04/2018 10:58:37	2467.00	71.00
13/04/2018 10:58:39	2393.00	64.00
13/04/2018 10:58:41	2424.00	76.00
13/04/2018 10:58:43	2401.00	59.00
13/04/2018 10:58:45	2396.00	74.00
13/04/2018 10:58:47	2322.00	52.00
13/04/2018 10:58:49	2350.00	48.00
13/04/2018 10:58:51	2411.00	51.00
13/04/2018 10:58:53	2291.00	67.00
13/04/2018 10:58:55	2371.00	54.00
13/04/2018 10:58:57	2400.00	74.00
13/04/2018 10:58:59	2432.00	61.00
13/04/2018 10:59:01	2371.00	57.00
13/04/2018 10:59:03	2300.00	67.00
13/04/2018 10:59:05	2323.00	58.00
13/04/2018 10:59:07	2365.00	67.00
13/04/2018 10:59:09	2299.00	61.00
13/04/2018 10:59:11	2386.00	56.00
13/04/2018 10:59:13	2407.00	62.00
13/04/2018 10:59:16	2358.00	76.00
13/04/2018 10:59:18	2327.00	49.00
13/04/2018 10:59:20	2327.00	54.00
13/04/2018 10:59:22	2273.00	59.00
13/04/2018 10:59:23	2293.00	63.00
13/04/2018 10:59:26	2344.00	55.00
13/04/2018 10:59:28	2276.00	55.00
13/04/2018 10:59:29	2365.00	58.00
13/04/2018 10:59:32	2328.00	67.00
13/04/2018 10:59:33	2281.00	62.00
13/04/2018 10:59:35	2259.00	64.00
13/04/2018 10:59:37	2276.00	60.00
13/04/2018 10:59:39	2232.00	65.00
13/04/2018 10:59:41	2232.00	58.00
13/04/2018 10:59:43	2315.00	71.00
13/04/2018 10:59:45	2311.00	59.00
13/04/2018 10:59:47	2207.00	66.00
13/04/2018 10:59:48	2238.00	60.00
13/04/2018 10:59:50	2322.00	82.00
13/04/2018 10:59:52	2197.00	55.00
13/04/2018 10:59:54	2238.00	54.00
13/04/2018 10:59:57	2293.00	56.00
13/04/2018 10:59:58	2177.00	56.00
