Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 20:00:27	549.00	12.00
13/04/2018 20:00:29	528.00	19.00
13/04/2018 20:00:31	544.00	9.00
13/04/2018 20:00:33	545.00	24.00
13/04/2018 20:00:35	521.00	23.00
13/04/2018 20:00:37	527.00	26.00
13/04/2018 20:00:39	518.00	25.00
13/04/2018 20:00:41	520.00	23.00
13/04/2018 20:00:43	512.00	15.00
13/04/2018 20:00:45	536.00	12.00
13/04/2018 20:00:47	565.00	28.00
13/04/2018 20:00:49	484.00	24.00
13/04/2018 20:00:50	553.00	16.00
13/04/2018 20:00:53	511.00	22.00
13/04/2018 20:00:54	529.00	20.00
13/04/2018 20:00:56	538.00	20.00
13/04/2018 20:00:58	510.00	22.00
13/04/2018 20:01:00	506.00	11.00
13/04/2018 20:01:02	488.00	30.00
13/04/2018 20:01:04	515.00	19.00
13/04/2018 20:01:06	474.00	24.00
13/04/2018 20:01:07	505.00	21.00
13/04/2018 20:01:09	506.00	19.00
13/04/2018 20:01:11	515.00	21.00
13/04/2018 20:01:13	537.00	23.00
13/04/2018 20:01:15	486.00	19.00
13/04/2018 20:01:17	489.00	19.00
13/04/2018 20:01:19	521.00	20.00
13/04/2018 20:01:21	512.00	17.00
13/04/2018 20:01:22	530.00	31.00
13/04/2018 20:01:24	487.00	21.00
13/04/2018 20:01:26	520.00	17.00
13/04/2018 20:01:28	473.00	16.00
13/04/2018 20:01:30	539.00	21.00
13/04/2018 20:01:32	515.00	18.00
13/04/2018 20:01:34	514.00	22.00
13/04/2018 20:01:36	471.00	23.00
13/04/2018 20:01:37	472.00	18.00
13/04/2018 20:01:39	481.00	14.00
13/04/2018 20:01:41	505.00	19.00
13/04/2018 20:01:43	505.00	20.00
13/04/2018 20:01:45	529.00	17.00
13/04/2018 20:01:47	543.00	14.00
13/04/2018 20:01:49	504.00	16.00
13/04/2018 20:01:51	490.00	21.00
13/04/2018 20:01:53	513.00	26.00
13/04/2018 20:01:55	489.00	18.00
13/04/2018 20:01:56	502.00	13.00
13/04/2018 20:01:58	482.00	15.00
13/04/2018 20:02:00	461.00	27.00
13/04/2018 20:02:02	497.00	19.00
13/04/2018 20:02:04	517.00	25.00
13/04/2018 20:02:06	510.00	21.00
13/04/2018 20:02:08	518.00	22.00
13/04/2018 20:02:10	520.00	16.00
13/04/2018 20:02:12	510.00	18.00
13/04/2018 20:02:14	529.00	21.00
13/04/2018 20:02:16	467.00	23.00
13/04/2018 20:02:18	477.00	19.00
13/04/2018 20:02:20	533.00	18.00
13/04/2018 20:02:22	519.00	20.00
13/04/2018 20:02:24	495.00	17.00
13/04/2018 20:02:25	522.00	25.00
13/04/2018 20:02:27	519.00	23.00
13/04/2018 20:02:29	499.00	20.00
13/04/2018 20:02:31	454.00	14.00
13/04/2018 20:02:33	485.00	23.00
13/04/2018 20:02:35	493.00	19.00
13/04/2018 20:02:37	520.00	24.00
13/04/2018 20:02:39	494.00	20.00
13/04/2018 20:02:41	487.00	14.00
13/04/2018 20:02:43	484.00	18.00
13/04/2018 20:02:45	489.00	23.00
13/04/2018 20:02:47	514.00	17.00
13/04/2018 20:02:49	522.00	19.00
13/04/2018 20:02:51	528.00	20.00
13/04/2018 20:02:53	513.00	19.00
13/04/2018 20:02:55	514.00	18.00
13/04/2018 20:02:56	494.00	21.00
13/04/2018 20:02:58	506.00	23.00
13/04/2018 20:03:00	535.00	11.00
13/04/2018 20:03:02	503.00	21.00
13/04/2018 20:03:04	507.00	26.00
13/04/2018 20:03:06	483.00	15.00
13/04/2018 20:03:08	492.00	25.00
13/04/2018 20:03:10	469.00	20.00
13/04/2018 20:03:11	535.00	18.00
13/04/2018 20:03:13	528.00	18.00
13/04/2018 20:03:15	451.00	20.00
13/04/2018 20:03:17	505.00	14.00
13/04/2018 20:03:20	508.00	23.00
13/04/2018 20:03:21	495.00	15.00
13/04/2018 20:03:23	459.00	23.00
13/04/2018 20:03:25	488.00	22.00
13/04/2018 20:03:27	501.00	25.00
13/04/2018 20:03:29	537.00	22.00
13/04/2018 20:03:31	482.00	22.00
13/04/2018 20:03:33	457.00	17.00
13/04/2018 20:03:34	513.00	31.00
13/04/2018 20:03:37	488.00	20.00
13/04/2018 20:03:38	500.00	29.00
13/04/2018 20:03:40	500.00	21.00
13/04/2018 20:03:42	533.00	18.00
13/04/2018 20:03:44	495.00	28.00
13/04/2018 20:03:46	498.00	15.00
13/04/2018 20:03:48	473.00	19.00
13/04/2018 20:03:50	517.00	16.00
13/04/2018 20:03:52	486.00	18.00
13/04/2018 20:03:54	489.00	24.00
13/04/2018 20:03:56	505.00	23.00
13/04/2018 20:03:58	458.00	24.00
13/04/2018 20:04:00	474.00	16.00
13/04/2018 20:04:02	511.00	20.00
13/04/2018 20:04:04	480.00	18.00
13/04/2018 20:04:06	480.00	20.00
13/04/2018 20:04:08	523.00	28.00
13/04/2018 20:04:10	483.00	12.00
13/04/2018 20:04:12	481.00	21.00
13/04/2018 20:04:14	526.00	15.00
13/04/2018 20:04:16	509.00	19.00
13/04/2018 20:04:18	468.00	23.00
13/04/2018 20:04:20	525.00	18.00
13/04/2018 20:04:22	461.00	12.00
13/04/2018 20:04:24	501.00	15.00
13/04/2018 20:04:26	503.00	16.00
13/04/2018 20:04:27	510.00	8.00
13/04/2018 20:04:29	508.00	17.00
13/04/2018 20:04:31	492.00	18.00
13/04/2018 20:04:33	485.00	16.00
13/04/2018 20:04:35	551.00	17.00
13/04/2018 20:04:37	548.00	13.00
13/04/2018 20:04:39	510.00	15.00
13/04/2018 20:04:41	540.00	19.00
13/04/2018 20:04:44	553.00	13.00
13/04/2018 20:04:45	488.00	20.00
13/04/2018 20:04:47	498.00	17.00
13/04/2018 20:04:49	501.00	10.00
13/04/2018 20:04:51	530.00	14.00
13/04/2018 20:04:53	577.00	12.00
13/04/2018 20:04:54	512.00	18.00
13/04/2018 20:04:56	487.00	16.00
13/04/2018 20:04:58	493.00	20.00
13/04/2018 20:04:59	544.00	17.00
13/04/2018 20:05:01	563.00	25.00
13/04/2018 20:05:03	520.00	19.00
13/04/2018 20:05:05	491.00	11.00
13/04/2018 20:05:06	513.00	15.00
13/04/2018 20:05:08	524.00	14.00
13/04/2018 20:05:10	517.00	12.00
13/04/2018 20:05:12	499.00	12.00
13/04/2018 20:05:14	463.00	20.00
13/04/2018 20:05:16	495.00	6.00
13/04/2018 20:05:18	548.00	20.00
13/04/2018 20:05:19	517.00	14.00
13/04/2018 20:05:21	530.00	13.00
13/04/2018 20:05:23	460.00	21.00
13/04/2018 20:05:25	495.00	16.00
13/04/2018 20:05:27	503.00	9.00
13/04/2018 20:05:29	528.00	12.00
13/04/2018 20:05:31	513.00	21.00
13/04/2018 20:05:33	538.00	13.00
13/04/2018 20:05:35	514.00	16.00
13/04/2018 20:05:37	507.00	19.00
13/04/2018 20:05:39	498.00	17.00
13/04/2018 20:05:41	531.00	10.00
13/04/2018 20:05:43	531.00	12.00
13/04/2018 20:05:45	485.00	15.00
13/04/2018 20:05:48	523.00	9.00
13/04/2018 20:05:50	553.00	16.00
13/04/2018 20:05:52	545.00	15.00
13/04/2018 20:05:54	507.00	16.00
13/04/2018 20:05:56	512.00	4.00
13/04/2018 20:05:58	495.00	13.00
13/04/2018 20:06:00	467.00	8.00
13/04/2018 20:06:02	483.00	19.00
13/04/2018 20:06:04	526.00	17.00
13/04/2018 20:06:05	500.00	10.00
13/04/2018 20:06:07	496.00	9.00
13/04/2018 20:06:09	538.00	9.00
13/04/2018 20:06:11	562.00	11.00
13/04/2018 20:06:13	509.00	16.00
13/04/2018 20:06:15	499.00	14.00
13/04/2018 20:06:17	500.00	11.00
13/04/2018 20:06:19	542.00	12.00
13/04/2018 20:06:20	538.00	12.00
13/04/2018 20:06:22	511.00	8.00
13/04/2018 20:06:24	555.00	14.00
13/04/2018 20:06:26	575.00	19.00
13/04/2018 20:06:28	533.00	16.00
13/04/2018 20:06:30	526.00	15.00
13/04/2018 20:06:32	512.00	8.00
13/04/2018 20:06:34	519.00	9.00
13/04/2018 20:06:36	545.00	9.00
13/04/2018 20:06:38	509.00	16.00
13/04/2018 20:06:40	526.00	9.00
13/04/2018 20:06:42	514.00	12.00
13/04/2018 20:06:44	523.00	11.00
13/04/2018 20:06:46	490.00	10.00
13/04/2018 20:06:48	576.00	11.00
13/04/2018 20:06:50	533.00	9.00
13/04/2018 20:06:52	527.00	8.00
13/04/2018 20:06:54	518.00	18.00
13/04/2018 20:06:56	547.00	5.00
13/04/2018 20:06:58	489.00	15.00
13/04/2018 20:07:00	517.00	15.00
13/04/2018 20:07:02	523.00	13.00
13/04/2018 20:07:04	503.00	14.00
13/04/2018 20:07:06	564.00	7.00
13/04/2018 20:07:08	509.00	12.00
13/04/2018 20:07:11	502.00	12.00
13/04/2018 20:07:13	534.00	16.00
13/04/2018 20:07:15	522.00	17.00
13/04/2018 20:07:16	557.00	16.00
13/04/2018 20:07:18	533.00	16.00
13/04/2018 20:07:21	521.00	12.00
13/04/2018 20:07:22	506.00	9.00
13/04/2018 20:07:24	568.00	12.00
13/04/2018 20:07:27	542.00	15.00
13/04/2018 20:07:28	538.00	19.00
13/04/2018 20:07:31	548.00	15.00
