,L,cps_per_nA,cps_per_nA_stdev,baseline,cps_per_nA_corrected,fit
0,125.0,3.71111111111111,1.6210041088743898,4.343680094089427,-0.632568982978317,7.372992800857908e-05
1,125.1,4.5,1.7748239349298844,4.300030532488343,0.1999694675116572,8.019253082747908e-05
2,125.2,4.133333333333335,1.892675942210452,4.257084368376479,-0.1237510350431438,8.718782719616683e-05
3,125.3,3.9777777777777774,1.4140389573273813,4.214826574375202,-0.2370487965974246,9.47566317734025e-05
4,125.4,4.01111111111111,1.5892773417927415,4.173242522142697,-0.162131411031587,0.00010294261590633391
5,125.5,4.511111111111112,1.7611724489844058,4.132317969730263,0.3787931413808492,0.00011179248506802869
6,125.6,4.088888888888889,1.648643288088125,4.092039049403315,-0.0031501605144264,0.00012135616553525123
7,125.7,3.755555555555555,1.4955076763014432,4.05239225590781,-0.2968367003522547,0.00013168700065254336
8,125.8,4.222222222222222,1.4487116456005884,4.013364435163526,0.2088577870586965,0.00014284195703144443
9,125.9,3.999999999999999,1.4757295747452437,3.974942773366486,0.0250572266335131,0.0001548818410355447
10,126.0,3.78888888888889,1.5846096220586918,3.937114786483853,-0.1482258975949628,0.00016787152590289168
11,126.1,3.922222222222224,1.7767705480018834,3.899868310125047,0.0223539120971767,0.00018188018985717592
12,126.2,4.155555555555554,1.7056188913321568,3.863191489773907,0.2923640657816473,0.000196981565557696
13,126.3,3.566666666666668,1.402775027500054,3.827072771367231,-0.260406104700563,0.00021325420123560225
14,126.4,3.711111111111111,1.4675081760976938,3.791500892205666,-0.080389781094555,0.00023078173386001044
15,126.5,3.677777777777778,1.8717853100485595,3.756464872183739,-0.0786870944059607,0.0002496531746721579
16,126.6,4.033333333333333,1.3631390787986923,3.7219540053261766,0.3113793280071566,0.0002699632074190426
17,126.7,3.488888888888889,1.3897330767781844,3.6879578516184175,-0.1990689627295294,0.0002918124996093195
18,126.8,3.8111111111111113,1.4661194265268795,3.654466229119712,0.156644881991399,0.00031530802710409716
19,126.9,3.744444444444445,1.3935920369434154,3.621469206347585,0.1229752380968598,0.000340563412343165
20,127.0,3.677777777777778,1.7405476646272886,3.5889570949232086,0.0888206828545694,0.0003676992764930519
21,127.1,3.655555555555555,1.4781954297030764,3.556920442467361,0.0986351130881941,0.0003968436057873767
22,127.2,3.9,1.8371677074195447,3.5253500257373798,0.3746499742626206,0.00042813213231150286
23,127.3,3.766666666666668,1.6047383541204423,3.4942368439957776,0.2724298226708903,0.0004617087294630913
24,127.4,3.366666666666667,1.5749191631224664,3.4635721126015877,-0.0969054459349201,0.0004977258222972194
25,127.5,3.6777777777777767,1.401013742321195,3.4333472568160084,0.2444305209617683,0.000536344812939189
26,127.6,3.644444444444445,1.8154345124888984,3.403553905814124,0.240890538630321,0.0005777365212203666
27,127.7,3.588888888888888,1.5591624849004635,3.374183886894961,0.2147050019939271,0.0006220816406614612
28,127.8,3.5777777777777766,1.4140389573273808,3.3452292198824027,0.2325485578953738,0.000669571209894304
29,127.9,4.055555555555556,1.9140481307724688,3.316682111709746,0.7388734438458102,0.0007204070995768386
30,128.0,3.488888888888888,1.3016608573873312,3.2885349511811603,0.2003539377077277,0.000774802514816435
31,128.1,3.7,1.6166953032973483,3.26078030390336,0.4392196960966403,0.0008329825130745668
32,128.2,3.8,1.6878651868229553,3.233410907381288,0.5665890926187118,0.0008951845374799145
33,128.3,3.511111111111112,1.4649821976755115,3.206419666271733,0.3046914448393787,0.0009616589654284736
34,128.4,3.466666666666666,1.3041245112107744,3.179799647789125,0.2868670188775408,0.0010326696722968286
35,128.5,3.355555555555555,1.6145939366437974,3.153544077257887,0.2020114782976683,0.0011084946100397477
36,128.6,3.455555555555555,1.5177550022693316,3.127646333806132,0.3279092217494233,0.0011894264003837413
37,128.7,3.511111111111112,1.3709508280166385,3.1020999461955165,0.4090111649155954,0.0012757729422665253
38,128.8,3.755555555555557,1.5249367523820234,3.0768985887823868,0.6786569667731701,0.0013678580331062421
39,128.9,3.099999999999999,1.654735068869983,3.0520360776055235,0.0479639223944756,0.0014660220034148999
40,129.0,3.3666666666666667,1.5174296005392116,3.0275063665959085,0.3391603000707581,0.0015706223641982866
41,129.1,3.2000000000000006,1.3973519930899994,3.003303543904289,0.1966964560957116,0.001682034466507457
42,129.2,3.1222222222222227,1.2794192355310725,2.9794218283422818,0.1428003938799409,0.0018006521724279845
43,129.3,3.2222222222222223,1.564261352922495,2.9558555659330747,0.2663666562891476,0.0019268885367096466
44,129.4,2.9888888888888885,1.5177550022693322,2.932599226567889,0.0562896623209989,0.002061176498152497
45,129.5,3.244444444444445,1.6076975331276369,2.909647400764442,0.3347970436800027,0.0022039695797762744
46,129.6,2.9333333333333327,1.2950046474963075,2.886994796523982,0.0463385368093507,0.002355742596705803
47,129.7,2.8888888888888875,0.916245694581702,2.8646362362833986,0.0242526526054889,0.0025169923706102105
48,129.8,2.9222222222222225,1.361326513568001,2.84256665395917,0.0796555682630524,0.0026882384494340845
49,129.9,3.122222222222222,1.593931392485454,2.820781092080015,0.3014411301422068,0.002870023831056695
50,130.0,2.822222222222222,1.4108923714977757,2.7992746990051525,0.0229475232170695,0.0030629156894121036
51,130.1,2.811111111111112,1.3935920369434158,2.778042726225356,0.0330683848857558,0.0032675061014944364
52,130.2,2.777777777777777,1.2362827596178778,2.757080525743936,0.0206972520338406,0.0034844127735652922
53,130.3,2.755555555555554,1.4730500817045822,2.7363835475349627,0.0191720080205914,0.0037142797647686564
54,130.4,2.9444444444444446,1.4052371180781886,2.71594733707618,0.2284971073682649,0.003957778206246083
