Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
13/04/2018 13:18:44	542.00	25.00
13/04/2018 13:18:47	486.00	24.00
13/04/2018 13:18:49	463.00	17.00
13/04/2018 13:18:51	484.00	14.00
13/04/2018 13:18:53	463.00	18.00
13/04/2018 13:18:55	465.00	23.00
13/04/2018 13:18:57	471.00	31.00
13/04/2018 13:18:59	469.00	29.00
13/04/2018 13:19:01	436.00	23.00
13/04/2018 13:19:03	449.00	31.00
13/04/2018 13:19:05	479.00	18.00
13/04/2018 13:19:07	485.00	23.00
13/04/2018 13:19:09	456.00	18.00
13/04/2018 13:19:10	453.00	25.00
13/04/2018 13:19:13	448.00	17.00
13/04/2018 13:19:14	491.00	22.00
13/04/2018 13:19:16	483.00	27.00
13/04/2018 13:19:18	483.00	27.00
13/04/2018 13:19:20	496.00	28.00
13/04/2018 13:19:22	480.00	23.00
13/04/2018 13:19:24	477.00	15.00
13/04/2018 13:19:26	481.00	25.00
13/04/2018 13:19:28	490.00	20.00
13/04/2018 13:19:30	465.00	16.00
13/04/2018 13:19:32	462.00	22.00
13/04/2018 13:19:34	467.00	16.00
13/04/2018 13:19:36	503.00	18.00
13/04/2018 13:19:38	495.00	13.00
13/04/2018 13:19:40	466.00	20.00
13/04/2018 13:19:42	446.00	19.00
13/04/2018 13:19:44	472.00	13.00
13/04/2018 13:19:46	440.00	22.00
13/04/2018 13:19:48	466.00	19.00
13/04/2018 13:19:50	447.00	17.00
13/04/2018 13:19:52	439.00	7.00
13/04/2018 13:19:54	467.00	15.00
13/04/2018 13:19:56	432.00	14.00
13/04/2018 13:19:58	440.00	16.00
13/04/2018 13:19:59	514.00	17.00
13/04/2018 13:20:01	472.00	13.00
13/04/2018 13:20:04	454.00	14.00
13/04/2018 13:20:06	418.00	10.00
13/04/2018 13:20:07	487.00	12.00
13/04/2018 13:20:10	445.00	14.00
13/04/2018 13:20:12	467.00	11.00
13/04/2018 13:20:14	483.00	17.00
13/04/2018 13:20:16	478.00	10.00
13/04/2018 13:20:17	472.00	11.00
13/04/2018 13:20:20	464.00	10.00
13/04/2018 13:20:21	460.00	17.00
13/04/2018 13:20:24	468.00	9.00
13/04/2018 13:20:26	465.00	11.00
13/04/2018 13:20:28	483.00	12.00
13/04/2018 13:20:31	495.00	10.00
13/04/2018 13:20:33	499.00	9.00
13/04/2018 13:20:35	491.00	9.00
13/04/2018 13:20:37	503.00	15.00
13/04/2018 13:20:39	437.00	13.00
13/04/2018 13:20:41	523.00	13.00
13/04/2018 13:20:43	466.00	10.00
13/04/2018 13:20:45	486.00	13.00
13/04/2018 13:20:47	508.00	7.00
13/04/2018 13:20:49	455.00	9.00
13/04/2018 13:20:51	479.00	8.00
13/04/2018 13:20:53	470.00	10.00
13/04/2018 13:20:56	467.00	14.00
13/04/2018 13:20:57	479.00	11.00
13/04/2018 13:20:59	503.00	15.00
13/04/2018 13:21:02	479.00	10.00
13/04/2018 13:21:04	463.00	7.00
13/04/2018 13:21:06	509.00	10.00
13/04/2018 13:21:08	514.00	14.00
13/04/2018 13:21:10	502.00	15.00
13/04/2018 13:21:13	485.00	15.00
13/04/2018 13:21:14	462.00	11.00
13/04/2018 13:21:16	456.00	10.00
13/04/2018 13:21:19	486.00	8.00
13/04/2018 13:21:21	467.00	10.00
13/04/2018 13:21:23	495.00	9.00
13/04/2018 13:21:24	435.00	16.00
13/04/2018 13:21:27	489.00	11.00
13/04/2018 13:21:29	484.00	10.00
13/04/2018 13:21:30	458.00	16.00
13/04/2018 13:21:32	458.00	14.00
13/04/2018 13:21:34	423.00	11.00
13/04/2018 13:21:36	509.00	10.00
13/04/2018 13:21:39	481.00	12.00
13/04/2018 13:21:41	462.00	7.00
13/04/2018 13:21:42	478.00	10.00
13/04/2018 13:21:44	485.00	16.00
