"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Sr WT%"	"  Fe WT%"	"   K WT%"	"  Ba WT%"	"  Na WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Sr AT%"	"  Fe AT%"	"   K AT%"	"  Ba AT%"	"  Na AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  hyalophane_50nA_20um_BNcalibr_1"	       1	       0	 .191024	 .054987	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3699	 100.377	 .000000	 .000000	 .000000	 .003276	 .013103	 .195502	 .105722	 .000935	 .000062	 .031361	 .032246	 .011765	 .606030	 .000958	604	"Boron Nitride (BN)"
"Un    2  hyalophane_50nA_20um_BNcalibr_2"	       2	       0	 .152352	 .043855	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3478	 100.306	 .000000	 .000000	 .000000	 .002622	 .010488	 .196217	 .106109	 .000938	 .000062	 .031476	 .032364	 .011809	 .607915	 .000763	604	"Boron Nitride (BN)"
"Un    3  hyalophane_50nA_20um_BNcalibr_3"	       3	       0	 .163322	 .047013	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3540	 100.326	 .000000	 .000000	 .000000	 .002808	 .011232	 .196014	 .105999	 .000937	 .000062	 .031443	 .032330	 .011796	 .607379	 .000819	604	"Boron Nitride (BN)"
"Un    4  hyalophane_50nA_20um_BNcalibr_4"	       4	       0	 .163128	 .046957	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3539	 100.326	 .000000	 .000000	 .000000	 .002805	 .011219	 .196017	 .106001	 .000937	 .000062	 .031444	 .032331	 .011797	 .607388	 .000818	604	"Boron Nitride (BN)"
"Un    5  hyalophane_50nA_20um_BNcalibr_5"	       5	       0	 .187125	 .053865	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.3676	 100.370	 .000000	 .000000	 .000000	 .003210	 .012840	 .195573	 .105761	 .000935	 .000062	 .031372	 .032257	 .011770	 .606219	 .000938	604	"Boron Nitride (BN)"
