 
Weight percent  ,      Group : 10112021      ,  Sample : 10112021_0004_QNT  , Page ,  1 , 
 
   No. ,   SiO2  ,   Al2O3 ,   Cl    ,   P2O5  ,   Fe2O3 ,   MnO   ,   Cr2O3 ,   K2O   ,   CaO   ,   Ru2O3 ,   Na2O  ,   MgO   ,  Total  ,Comment  
    1  , 48.8500 , 15.4000 ,  4.4000 ,  0.1624 ,  0.1985 ,  0.2295 ,  0.0349 ,  0.2062 , 14.6100 ,  0.0000 ,  1.7500 ,  8.8100 , 94.6516 ,D2872_qnt_v2_1 
    2  , 48.7600 , 15.2700 ,  4.4500 ,  0.2025 ,  0.1682 ,  0.2334 ,  0.0403 ,  0.2061 , 14.7200 ,  0.0000 ,  1.7400 ,  8.8200 , 94.6105 ,D2872_qnt_v2_2 
    3  , 48.7700 , 15.3700 ,  4.4200 ,  0.1897 ,  0.2264 ,  0.2468 ,  0.0455 ,  0.2161 , 14.6100 ,  0.0000 ,  1.7200 ,  8.8200 , 94.6346 ,D2872_qnt_v2_3 
    4  , 48.9200 , 15.4300 ,  4.3200 ,  0.1918 ,  0.1704 ,  0.2401 ,  0.0223 ,  0.2006 , 14.7100 ,  0.0000 ,  1.7000 ,  8.7600 , 94.6653 ,D2872_qnt_v2_4 
    5  , 49.0300 , 15.3800 ,  4.3800 ,  0.1886 ,  0.1995 ,  0.2321 ,  0.0334 ,  0.2073 , 14.5500 ,  0.0000 ,  1.7100 ,  8.7600 , 94.6710 ,D2872_qnt_v2_5 
 
Minimum, 48.7600 , 15.2700 ,  4.3200 ,  0.1624 ,  0.1682 ,  0.2295 ,  0.0223 ,  0.2006 , 14.5500 ,  0.0000 ,  1.7000 ,  8.7600 , 94.6105  
Maximum, 49.0300 , 15.4300 ,  4.4500 ,  0.2025 ,  0.2264 ,  0.2468 ,  0.0455 ,  0.2161 , 14.7200 ,  0.0000 ,  1.7500 ,  8.8200 , 94.6709  
Average, 48.8660 , 15.3700 ,  4.3940 ,  0.1870 ,  0.1926 ,  0.2364 ,  0.0353 ,  0.2073 , 14.6400 ,  0.0000 ,  1.7240 ,  8.7940 , 94.6465  
Sigma  ,  0.1124 ,  0.0604 ,  0.0488 ,  0.0148 ,  0.0240 ,  0.0070 ,  0.0087 ,  0.0056 ,  0.0728 , -0.0000 ,  0.0207 ,  0.0313 ,  0.0245  
"No. of data"   5 
