 
Weight percent  ,      Group : 10112021      ,  Sample : 10112021_0005_QNT  , Page ,  1 , 
 
   No. ,   SiO2  ,   Al2O3 ,   Cl    ,   P2O5  ,   Fe2O3 ,   MnO   ,   Cr2O3 ,   K2O   ,   CaO   ,   Ru2O3 ,   Na2O  ,   MgO   ,  Total  ,Comment  
    6  , 47.2600 , 14.9100 ,  0.0064 ,  0.1974 ,  8.5100 ,  0.3112 ,  0.0978 ,  0.1780 , 14.1600 ,  0.0000 ,  1.7100 ,  8.6200 , 95.9609 ,Edi09_qnt_v3_1 
    7  , 47.4900 , 14.9700 ,  0.0060 ,  0.1971 ,  8.2800 ,  0.3030 ,  0.0832 ,  0.1941 , 14.0900 ,  0.0000 ,  1.6600 ,  8.5700 , 95.8435 ,Edi09_qnt_v3_2 
    8  , 47.5100 , 14.8000 ,  0.0040 ,  0.1832 ,  8.4100 ,  0.3275 ,  0.0865 ,  0.1930 , 14.1800 ,  0.0000 ,  1.7200 ,  8.6000 , 96.0143 ,Edi09_qnt_v3_3 
    9  , 47.4300 , 14.8500 ,  0.0070 ,  0.1945 ,  8.2100 ,  0.3070 ,  0.0883 ,  0.1983 , 14.1700 ,  0.0575 ,  1.7500 ,  8.6000 , 95.8627 ,Edi09_qnt_v3_4 
   10  , 47.3900 , 14.9800 ,  0.0121 ,  0.1954 ,  8.3600 ,  0.3355 ,  0.0917 ,  0.1902 , 14.1900 ,  0.0000 ,  1.6900 ,  8.6000 , 96.0350 ,Edi09_qnt_v3_5 
 
Minimum, 47.2600 , 14.8000 ,  0.0040 ,  0.1832 ,  8.2100 ,  0.3030 ,  0.0832 ,  0.1780 , 14.0900 ,  0.0000 ,  1.6600 ,  8.5700 , 95.8434  
Maximum, 47.5100 , 14.9800 ,  0.0121 ,  0.1974 ,  8.5100 ,  0.3355 ,  0.0978 ,  0.1983 , 14.1900 ,  0.0575 ,  1.7500 ,  8.6200 , 96.0349  
Average, 47.4160 , 14.9020 ,  0.0071 ,  0.1935 ,  8.3540 ,  0.3168 ,  0.0895 ,  0.1907 , 14.1580 ,  0.0115 ,  1.7060 ,  8.5980 , 95.9432  
Sigma  ,  0.0994 ,  0.0773 ,  0.0030 ,  0.0059 ,  0.1159 ,  0.0140 ,  0.0056 ,  0.0077 ,  0.0396 ,  0.0257 ,  0.0336 ,  0.0179 ,  0.0869  
"No. of data"   5 
