 
Weight percent  ,      Group : 10112021      ,  Sample : 10112021_0002_QNT  , Page ,  1 , 
 
   No. ,   SiO2  ,   Al2O3 ,   Cl    ,   P2O5  ,   Fe2O3 ,   MnO   ,   Cr2O3 ,   K2O   ,   CaO   ,   Ru2O3 ,   Na2O  ,   MgO   ,  Total  ,Comment  
    3  , 47.3100 , 14.8200 ,  1.0100 ,  0.1869 ,  8.2300 ,  0.3209 ,  0.0779 ,  0.1966 , 14.1500 ,  0.0000 ,  1.7300 ,  8.6400 , 96.6724 ,D2983_qnt_v2_2 
    4  , 47.3500 , 14.9100 ,  1.0200 ,  0.1839 ,  8.2200 ,  0.3310 ,  0.0649 ,  0.1929 , 14.2000 ,  0.0205 ,  1.7400 ,  8.6800 , 96.9133 ,D2983_qnt_v2_3 
    5  , 47.4700 , 14.8900 ,  1.0200 ,  0.2011 ,  8.2600 ,  0.3132 ,  0.0637 ,  0.2041 , 14.2500 ,  0.0171 ,  1.6500 ,  8.6700 , 97.0093 ,D2983_qnt_v2_4 
    6  , 47.3500 , 14.8600 ,  1.0100 ,  0.1920 ,  8.2100 ,  0.2987 ,  0.0586 ,  0.1882 , 14.1600 ,  0.0222 ,  1.6800 ,  8.6300 , 96.6598 ,D2983_qnt_v2_5 
 
Minimum, 47.3100 , 14.8200 ,  1.0100 ,  0.1839 ,  8.2100 ,  0.2987 ,  0.0586 ,  0.1882 , 14.1500 ,  0.0000 ,  1.6500 ,  8.6300 , 96.6597  
Maximum, 47.4700 , 14.9100 ,  1.0200 ,  0.2011 ,  8.2600 ,  0.3310 ,  0.0779 ,  0.2041 , 14.2500 ,  0.0222 ,  1.7400 ,  8.6800 , 97.0092  
Average, 47.3700 , 14.8700 ,  1.0150 ,  0.1910 ,  8.2300 ,  0.3160 ,  0.0663 ,  0.1955 , 14.1900 ,  0.0149 ,  1.7000 ,  8.6550 , 96.8136  
Sigma  ,  0.0693 ,  0.0392 ,  0.0058 ,  0.0075 ,  0.0216 ,  0.0136 ,  0.0082 ,  0.0067 ,  0.0455 ,  0.0102 ,  0.0424 ,  0.0238 ,  0.1750  
"No. of data"   4 
