Time	Counting_Sp1(c/s)	Counting_Sp4(c/s)
12/04/2018 19:34:33	904.00	28.00
12/04/2018 19:34:35	880.00	14.00
12/04/2018 19:34:37	862.00	15.00
12/04/2018 19:34:38	830.00	17.00
12/04/2018 19:34:41	891.00	11.00
12/04/2018 19:34:42	833.00	12.00
12/04/2018 19:34:44	848.00	15.00
12/04/2018 19:34:46	864.00	19.00
12/04/2018 19:34:48	770.00	17.00
12/04/2018 19:34:51	875.00	17.00
12/04/2018 19:34:53	834.00	20.00
12/04/2018 19:34:55	809.00	16.00
12/04/2018 19:34:57	847.00	18.00
12/04/2018 19:34:59	865.00	17.00
12/04/2018 19:35:01	797.00	9.00
12/04/2018 19:35:03	824.00	17.00
12/04/2018 19:35:05	792.00	23.00
12/04/2018 19:35:07	797.00	22.00
12/04/2018 19:35:09	778.00	15.00
12/04/2018 19:35:11	812.00	14.00
12/04/2018 19:35:13	776.00	13.00
12/04/2018 19:35:15	757.00	18.00
12/04/2018 19:35:18	809.00	17.00
12/04/2018 19:35:20	774.00	20.00
12/04/2018 19:35:21	807.00	18.00
12/04/2018 19:35:23	789.00	14.00
12/04/2018 19:35:25	819.00	12.00
12/04/2018 19:35:27	787.00	22.00
12/04/2018 19:35:30	753.00	15.00
12/04/2018 19:35:32	769.00	17.00
12/04/2018 19:35:34	822.00	14.00
12/04/2018 19:35:36	818.00	15.00
12/04/2018 19:35:38	720.00	16.00
12/04/2018 19:35:40	760.00	13.00
12/04/2018 19:35:42	793.00	19.00
12/04/2018 19:35:44	783.00	16.00
12/04/2018 19:35:46	805.00	11.00
12/04/2018 19:35:47	732.00	20.00
12/04/2018 19:35:49	819.00	11.00
12/04/2018 19:35:51	736.00	19.00
12/04/2018 19:35:53	804.00	7.00
12/04/2018 19:35:55	732.00	14.00
12/04/2018 19:35:57	749.00	19.00
12/04/2018 19:35:59	760.00	11.00
12/04/2018 19:36:01	794.00	18.00
12/04/2018 19:36:03	744.00	14.00
12/04/2018 19:36:05	788.00	18.00
12/04/2018 19:36:07	740.00	15.00
12/04/2018 19:36:08	783.00	15.00
12/04/2018 19:36:10	767.00	17.00
12/04/2018 19:36:12	746.00	13.00
12/04/2018 19:36:15	765.00	11.00
12/04/2018 19:36:17	758.00	14.00
12/04/2018 19:36:19	784.00	15.00
12/04/2018 19:36:20	786.00	18.00
12/04/2018 19:36:22	770.00	17.00
12/04/2018 19:36:24	754.00	16.00
12/04/2018 19:36:26	729.00	9.00
12/04/2018 19:36:28	734.00	15.00
12/04/2018 19:36:30	759.00	7.00
12/04/2018 19:36:32	744.00	14.00
12/04/2018 19:36:34	793.00	19.00
12/04/2018 19:36:36	691.00	14.00
12/04/2018 19:36:38	747.00	23.00
12/04/2018 19:36:40	735.00	16.00
12/04/2018 19:36:42	757.00	15.00
12/04/2018 19:36:44	728.00	12.00
12/04/2018 19:36:46	739.00	11.00
12/04/2018 19:36:48	777.00	18.00
12/04/2018 19:36:51	738.00	18.00
12/04/2018 19:36:53	708.00	24.00
12/04/2018 19:36:54	751.00	18.00
12/04/2018 19:36:56	742.00	11.00
12/04/2018 19:36:59	747.00	15.00
12/04/2018 19:37:00	710.00	13.00
12/04/2018 19:37:02	759.00	16.00
12/04/2018 19:37:04	683.00	20.00
12/04/2018 19:37:06	773.00	17.00
12/04/2018 19:37:08	771.00	16.00
12/04/2018 19:37:10	727.00	20.00
12/04/2018 19:37:11	798.00	20.00
12/04/2018 19:37:13	791.00	12.00
12/04/2018 19:37:15	698.00	12.00
12/04/2018 19:37:17	755.00	25.00
12/04/2018 19:37:19	713.00	23.00
12/04/2018 19:37:20	734.00	19.00
12/04/2018 19:37:22	695.00	18.00
12/04/2018 19:37:24	773.00	18.00
12/04/2018 19:37:26	753.00	13.00
12/04/2018 19:37:28	699.00	17.00
12/04/2018 19:37:30	756.00	16.00
12/04/2018 19:37:32	739.00	14.00
12/04/2018 19:37:34	757.00	19.00
12/04/2018 19:37:36	712.00	14.00
12/04/2018 19:37:38	725.00	20.00
