,Sample,ht_area_ratio,ht_area_ratio_mc_mean,ht_area_ratio_mc_stdev
0,BN,0.20459414536670045,0.20350276597637157,0.0010549777366602733
1,GaN,0.24001363590912134,0.23891126278169486,0.001266616146741344
2,AlN,0.234709191693662,0.2336946649360454,0.0011587584474742518
3,Si3N4,0.21059320042725488,0.20932971750943685,0.0006697761371813546
4,GlassA870,0.20213577989635892,0.20142541688093715,0.0059321795514208206
