,Sample,ht_area_ratio,ht_area_ratio_mc_mean,ht_area_ratio_mc_stdev
0,BN,0.20514520027701524,0.20470025159616717,0.0004982996405703917
1,GaN,0.23147086957552315,0.23080205003447024,0.0012272717030364182
2,AlN,0.22829229456692823,0.22814559174080684,0.0007170810541112744
3,Si3N4,0.20692121741961855,0.20661876204065388,0.0005568091969070849
4,GlassA870,0.19115059293304104,0.1894227301203937,0.008580161336503259
5,Buddingtonite,0.19435958525784863,0.1930795648986775,0.0036622629215979784
