,Sample,ht_area_ratio,ht_area_ratio_mc_mean,ht_area_ratio_mc_stdev
0,BN,0.19733647870235618,0.19706795635433288,0.0007320824594681692
1,GaN,0.230972906406043,0.23028573553917617,0.0018610600505074213
2,AlN,0.2288140005570562,0.22772805853356112,0.0009422436515809961
3,Si3N4,0.20716294157835993,0.20689271068336165,0.0007501767634371565
4,GlassA870,0.19048021621751604,0.18794836618711272,0.004527983186977459
