,Sample,ht_area_ratio,ht_area_ratio_mc_mean,ht_area_ratio_mc_stdev
0,BN,0.19943617470312958,0.1991094959704403,0.000225390864971445
1,GaN,0.22918876654103254,0.22800217005123352,0.0013289163023460135
2,AlN,0.22717360515121376,0.22601044763893788,0.0010985347146345757
3,Si3N4,0.20382709946837357,0.20319219510178949,0.0008231808290540996
4,GlassA870,0.19137230048425752,0.1907141262541254,0.008968935486254109
5,Buddingtonite,0.1950999198240653,0.1915041728511317,0.0024026779023601976
