"  SAMPLE"	"    LINE"	"Relative Dist(um)"	"   N WT%"	"   H WT%"	"  Si WT%"	"  Al WT%"	"  Sr WT%"	"  Fe WT%"	"   K WT%"	"  Ba WT%"	"  Na WT%"	"   O WT%"	"   TOTAL"	"   X-POS"	"   Y-POS"	"   Z-POS"	"   N AT%"	"   H AT%"	"  Si AT%"	"  Al AT%"	"  Sr AT%"	"  Fe AT%"	"   K AT%"	"  Ba AT%"	"  Na AT%"	"   O AT%"	" N K-RAT"	"N STD_NUM"	"N STD_NAM"
"Un    1  hyalophane_50nA_20um_BNcalibr_1"	       1	       0	 .014811	 .004264	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.2692	 100.050	 .000000	 .000000	 .000000	 .000258	 .001033	 .198806	 .107509	 .000951	 .000063	 .031891	 .032791	 .011964	 .614735	 .000074	604	"Boron Nitride (BN)"
"Un    2  hyalophane_50nA_20um_BNcalibr_2"	       2	       0	 .020086	 .005782	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.2722	 100.060	 .000000	 .000000	 .000000	 .000350	 .001400	 .198705	 .107455	 .000950	 .000063	 .031875	 .032774	 .011958	 .614470	 .000101	604	"Boron Nitride (BN)"
"Un    3  hyalophane_50nA_20um_BNcalibr_3"	       3	       0	 .024498	 .007052	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.2747	 100.068	 .000000	 .000000	 .000000	 .000427	 .001707	 .198621	 .107409	 .000950	 .000063	 .031861	 .032760	 .011953	 .614249	 .000123	604	"Boron Nitride (BN)"
"Un    4  hyalophane_50nA_20um_BNcalibr_4"	       4	       0	 .016984	 .004889	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.2705	 100.054	 .000000	 .000000	 .000000	 .000296	 .001184	 .198764	 .107487	 .000950	 .000063	 .031884	 .032784	 .011962	 .614626	 .000085	604	"Boron Nitride (BN)"
"Un    5  hyalophane_50nA_20um_BNcalibr_5"	       5	       0	 .014292	 .004114	 22.8604	 11.8764	 .340994	 .014338	 5.10541	 18.4379	 1.12614	 40.2689	 100.049	 .000000	 .000000	 .000000	 .000249	 .000997	 .198815	 .107514	 .000951	 .000063	 .031892	 .032792	 .011965	 .614761	 .000072	604	"Boron Nitride (BN)"
