,L,counts,cps,cps_per_nA
0,125.0,52.0,86.66666666666667,0.8580858085808581
1,125.02,60.0,100.0,0.9900990099009901
2,125.04,49.0,81.66666666666667,0.8085808580858086
3,125.06,40.0,66.66666666666667,0.6600660066006601
4,125.08,43.0,71.66666666666667,0.7095709570957096
5,125.1,49.0,81.66666666666667,0.8085808580858086
6,125.12,58.0,96.66666666666667,0.9570957095709571
7,125.14,45.0,75.0,0.7425742574257426
8,125.16,52.0,86.66666666666667,0.8580858085808581
9,125.18,52.0,86.66666666666667,0.8580858085808581
10,125.2,62.0,103.33333333333334,1.0231023102310233
11,125.22,46.0,76.66666666666667,0.7590759075907592
12,125.24,49.0,81.66666666666667,0.8085808580858086
13,125.26,53.0,88.33333333333334,0.8745874587458747
14,125.28,48.0,80.0,0.7920792079207921
15,125.3,51.0,85.0,0.8415841584158416
16,125.32,42.0,70.0,0.693069306930693
17,125.34,59.0,98.33333333333334,0.9735973597359737
18,125.36,43.0,71.66666666666667,0.7095709570957096
19,125.38,49.0,81.66666666666667,0.8085808580858086
20,125.4,39.0,65.0,0.6435643564356436
21,125.42,50.0,83.33333333333334,0.8250825082508252
22,125.44,49.0,81.66666666666667,0.8085808580858086
23,125.46,55.0,91.66666666666667,0.9075907590759076
24,125.48,44.0,73.33333333333334,0.7260726072607262
25,125.5,54.0,90.0,0.8910891089108911
26,125.52,57.0,95.0,0.9405940594059405
27,125.54,52.0,86.66666666666667,0.8580858085808581
28,125.56,55.0,91.66666666666667,0.9075907590759076
29,125.58,48.0,80.0,0.7920792079207921
30,125.6,42.0,70.0,0.693069306930693
31,125.62,47.0,78.33333333333334,0.7755775577557756
32,125.64,53.0,88.33333333333334,0.8745874587458747
33,125.66,49.0,81.66666666666667,0.8085808580858086
34,125.68,53.0,88.33333333333334,0.8745874587458747
35,125.7,43.0,71.66666666666667,0.7095709570957096
36,125.72,54.0,90.0,0.8910891089108911
37,125.74,39.0,65.0,0.6435643564356436
38,125.76,48.0,80.0,0.7920792079207921
39,125.78,44.0,73.33333333333334,0.7260726072607262
40,125.8,53.0,88.33333333333334,0.8745874587458747
41,125.82,36.0,60.0,0.594059405940594
42,125.84,37.0,61.66666666666667,0.6105610561056106
43,125.86,52.0,86.66666666666667,0.8580858085808581
44,125.88,48.0,80.0,0.7920792079207921
45,125.9,65.0,108.33333333333334,1.0726072607260726
46,125.92,52.0,86.66666666666667,0.8580858085808581
47,125.94,36.0,60.0,0.594059405940594
48,125.96,50.0,83.33333333333334,0.8250825082508252
49,125.98,42.0,70.0,0.693069306930693
50,126.0,43.0,71.66666666666667,0.7095709570957096
51,126.02,46.0,76.66666666666667,0.7590759075907592
52,126.04,50.0,83.33333333333334,0.8250825082508252
53,126.06,42.0,70.0,0.693069306930693
54,126.08,43.0,71.66666666666667,0.7095709570957096
55,126.1,46.0,76.66666666666667,0.7590759075907592
56,126.12,50.0,83.33333333333334,0.8250825082508252
57,126.14,40.0,66.66666666666667,0.6600660066006601
58,126.16,43.0,71.66666666666667,0.7095709570957096
